Transect,Distance,Location N,Location E,Classification,Grass,Forb,Bare Ground,Litter,Litter Depth,Robel N,Robel E,Robel S,Robel W
1,0m,,,poor,63,0,16,98,2,3,2,2,3
1,10m,,,poor,98,0,1,98,3,4,3,3,4
1,20m,,,poor,86,16,1,98,3,3,3,3,3
1,30m,,,poor,98,0,1,98,2,3,2,3,4
1,40m,,,poor,98,1,1,98,3,3,3,3,3
1,50m,,,poor,86,0,16,98,3,4,3,2,3
1,60m,,,poor,98,0,16,98,3,2,3,2,2
1,70m,,,poor,38,0,16,98,2,3,5,4,3
1,80m,,,poor,38,0,16,98,2,4,3,2,2
1,90m,,,poor,63,0,16,98,3,3,2,3,2
2,0m,,,poor,63,0,16,98,2,3,2,2,3
2,10m,,,poor,38,16,16,98,2,3,3,3,4
2,20m,,,poor,38,0,38,63,2,4,4,4,4
2,30m,,,poor,63,0,16,98,5,4,3,3,3
2,40m,,,poor,63,16,16,98,2,3,3,3,3
2,50m,,,poor,63,0,16,98,4,4,4,4,4
2,60m,,,poor,38,0,16,98,3,4,3,3,4
2,70m,,,poor,98,0,1,98,4,5,5,4,4
2,80m,,,poor,63,0,16,98,3,4,5,4,5
2,90m,,,poor,63,0,16,98,4,4,3,4,5
3,0m,,,poor,86,0,16,98,10,3,3,3,3
3,10m,,,poor,86,16,16,98,9,2,3,3,2
3,20m,,,poor,86,0,16,98,6,5,4,3,5
3,30m,,,poor,63,0,16,98,8,5,5,4,5
3,40m,,,poor,38,0,16,98,14,1,2,4,2
3,50m,,,poor,63,0,16,98,10,2,3,4,5
3,60m,,,poor,38,0,16,98,12,3,3,4,3
3,70m,,,poor,63,0,16,98,5,4,5,5,5
3,80m,,,poor,63,0,16,98,8,3,3,4,3
3,90m,,,poor,38,0,16,98,9,4,4,2,4
4,0m,,,poor,63,0,16,98,4,2,2,2,4
4,10m,,,poor,63,0,16,98,5,4,4,3,4
4,20m,,,poor,63,1,16,98,2,3,2,4,3
4,30m,,,poor,63,0,16,98,8,5,4,4,3
4,40m,,,poor,63,0,16,98,14,5,4,4,4
4,50m,,,poor,63,0,16,98,8,4,3,3,4
4,60m,,,poor,38,0,38,86,5,4,4,4,5
4,70m,,,poor,63,0,16,98,14,4,3,4,2
4,80m,,,poor,63,16,1,98,15,2,2,2,2
4,90m,,,poor,86,0,16,98,8,6,5,5,6
7,0m,,,poor,86,0,63,16,0.5,2,2,2,2
