ctmmlabel,class,occu,release,count
ac,crop,high,corn,7
ac,crop,low,corn,6698
ac,crop,moderate,corn,3054
ac,edge,high,corn,15
ac,edge,low,corn,20834
ac,edge,moderate,corn,1932
ac,poor,high,corn,0
ac,poor,low,corn,53681
ac,poor,moderate,corn,2172
ac,rich,high,corn,24
ac,rich,low,corn,109202
ac,rich,moderate,corn,17979
ae,crop,high,corn,1
ae,crop,low,corn,16590
ae,crop,moderate,corn,0
ae,edge,low,corn,3642
ae,edge,moderate,corn,0
ae,edge,high,corn,0
ae,rich,low,corn,10194
ae,rich,moderate,corn,0
ae,rich,high,corn,0
ae,poor,moderate,corn,0
ae,poor,high,corn,0
ae,poor,low,corn,0
aq,crop,low,corn,4251
aq,crop,moderate,corn,0
aq,crop,high,corn,0
aq,edge,low,corn,2010
aq,edge,moderate,corn,0
aq,edge,high,corn,0
aq,poor,low,corn,4361
aq,poor,moderate,corn,0
aq,poor,high,corn,0
aq,rich,low,corn,20882
aq,rich,moderate,corn,0
aq,rich,high,corn,0
ar,crop,low,corn,1942
ar,crop,moderate,corn,0
ar,crop,high,corn,0
ar,edge,high,corn,5
ar,edge,low,corn,2376
ar,edge,moderate,corn,25
ar,rich,high,corn,7
ar,rich,low,corn,6786
ar,rich,moderate,corn,34
ar,poor,high,corn,0
ar,poor,low,corn,0
ar,poor,moderate,corn,0
bv,crop,low,corn,42
bv,crop,moderate,corn,0
bv,crop,high,corn,0
bv,edge,low,corn,0
bv,edge,moderate,corn,0
bv,edge,high,corn,0
bv,poor,low,corn,0
bv,poor,moderate,corn,0
bv,poor,high,corn,0
bv,rich,low,corn,0
bv,rich,moderate,corn,0
bv,rich,high,corn,0
bx,crop,low,corn,30957
bx,crop,moderate,corn,2
bx,crop,high,corn,0
bx,edge,low,corn,31957
bx,edge,moderate,corn,0
bx,edge,high,corn,0
bx,poor,low,corn,1816
bx,poor,moderate,corn,0
bx,poor,high,corn,0
bx,rich,low,corn,556041
bx,rich,moderate,corn,3
bx,rich,high,corn,0
ca,crop,high,corn,1
ca,crop,low,corn,1840
ca,crop,moderate,corn,8
ca,edge,high,corn,0
ca,edge,low,corn,1714
ca,edge,moderate,corn,3
ca,poor,low,corn,1123
ca,poor,moderate,corn,0
ca,poor,high,corn,0
ca,rich,high,corn,9
ca,rich,low,corn,9314
ca,rich,moderate,corn,22
cb,crop,high,corn,11
cb,crop,low,corn,14668
cb,crop,moderate,corn,41
cb,rich,high,corn,3
cb,rich,low,corn,59584
cb,rich,moderate,corn,44
cb,edge,high,corn,0
cb,edge,low,corn,0
cb,edge,moderate,corn,0
cb,poor,low,corn,0
cb,poor,moderate,corn,0
cb,poor,high,corn,0
cr,crop,low,corn,431
cr,crop,moderate,corn,2
cr,crop,high,corn,0
cr,edge,high,corn,0
cr,edge,low,corn,0
cr,edge,moderate,corn,0
cr,poor,low,corn,0
cr,poor,moderate,corn,0
cr,poor,high,corn,0
cr,rich,high,corn,0
cr,rich,low,corn,0
cr,rich,moderate,corn,0
cs,crop,low,corn,55
cs,crop,moderate,corn,0
cs,crop,high,corn,0
cs,edge,high,corn,0
cs,edge,low,corn,0
cs,edge,moderate,corn,0
cs,poor,low,corn,0
cs,poor,moderate,corn,0
cs,poor,high,corn,0
cs,rich,high,corn,0
cs,rich,low,corn,0
cs,rich,moderate,corn,0
cz,crop,low,corn,18246
cz,crop,moderate,corn,0
cz,crop,high,corn,0
cz,poor,low,corn,0
cz,poor,moderate,corn,0
cz,poor,high,corn,0
cz,edge,high,corn,0
cz,edge,moderate,corn,0
cz,edge,low,corn,0
cz,rich,low,corn,0
cz,rich,moderate,corn,0
cz,rich,high,corn,0
du,crop,moderate,corn,0
du,crop,high,corn,0
du,crop,low,corn,57
du,edge,low,corn,535
du,edge,moderate,corn,1
du,edge,high,corn,0
du,rich,low,corn,440
du,rich,moderate,corn,0
du,rich,high,corn,0
du,poor,low,corn,0
du,poor,moderate,corn,0
du,poor,high,corn,0
dv,crop,high,corn,0
dv,crop,moderate,corn,0
dv,crop,low,corn,57
dv,edge,low,corn,535
dv,edge,moderate,corn,1
dv,edge,high,corn,0
dv,rich,low,corn,440
dv,rich,moderate,corn,0
dv,rich,high,corn,0
dv,poor,moderate,corn,0
dv,poor,low,corn,0
dv,poor,high,corn,0
dw,crop,moderate,corn,0
dw,crop,high,corn,0
dw,crop,low,corn,3089
dw,edge,low,corn,6521
dw,edge,moderate,corn,0
dw,edge,high,corn,0
dw,poor,low,corn,41329
dw,poor,moderate,corn,0
