Transect,Plant Species,Count
1,Common Milkweed Ramet,2
1,Swamp Milkweed Ramet,0
1,Butterfly Milkweed Ramet,0
1,Daisy Fleabone ,5
1,Queen Ann's Lace,0
1,Canada Lettuce,0
1,Wild Bergamot,0
1,Brown Eyed Susan,0
1,Grey Coneflower,0
1,Black Eyed Susan,0
1,Ox Eye Sunflower,0
1,Pale Purple Coneflower,0
1,Common Evening Primrose,0
1,White Sweet Clover,0
1,Canada Thistle,0
1,Swamp Smartweed,0
1,Wild Parsnip,0
1,Mountain Mint,0
1,Red Clover,0
1,Hoary Vervane,0
1,White Sweet Clover,0
1,Yellow Sweet Clover,0
1,St. John's Wort,0
2,Common Milkweed Ramet,2
2,Swamp Milkweed Ramet,0
2,Butterfly Milkweed Ramet,0
2,Daisy Fleabone ,0
2,Queen Ann's Lace,2
2,Canada Lettuce,1
2,Wild Bergamot,0
2,Brown Eyed Susan,0
2,Grey Coneflower,0
2,Black Eyed Susan,0
2,Ox Eye Sunflower,0
2,Pale Purple Coneflower,0
2,Common Evening Primrose,0
2,White Sweet Clover,0
2,Canada Thistle,0
2,Swamp Smartweed,0
2,Wild Parsnip,0
2,Mountain Mint,0
2,Red Clover,0
2,Hoary Vervane,0
2,White Sweet Clover,0
2,Yellow Sweet Clover,0
2,St. John's Wort,0
3,Common Milkweed Ramet,3
3,Swamp Milkweed Ramet,0
3,Butterfly Milkweed Ramet,0
3,Daisy Fleabone ,0
3,Queen Ann's Lace,0
3,Canada Lettuce,0
3,Wild Bergamot,0
3,Brown Eyed Susan,0
3,Grey Coneflower,0
3,Black Eyed Susan,0
3,Ox Eye Sunflower,0
3,Pale Purple Coneflower,0
3,Common Evening Primrose,0
3,White Sweet Clover,0
3,Canada Thistle,0
3,Swamp Smartweed,0
3,Wild Parsnip,0
3,Mountain Mint,0
3,Red Clover,0
3,Hoary Vervane,0
3,White Sweet Clover,0
3,Yellow Sweet Clover,0
3,St. John's Wort,0
4,Common Milkweed Ramet,10
4,Swamp Milkweed Ramet,0
4,Butterfly Milkweed Ramet,0
4,Daisy Fleabone ,0
4,Queen Ann's Lace,0
4,Canada Lettuce,0
4,Wild Bergamot,0
4,Brown Eyed Susan,0
4,Grey Coneflower,0
4,Black Eyed Susan,0
4,Ox Eye Sunflower,0
4,Pale Purple Coneflower,0
4,Common Evening Primrose,0
4,White Sweet Clover,0
4,Canada Thistle,0
4,Swamp Smartweed,0
4,Wild Parsnip,0
4,Mountain Mint,0
4,Red Clover,0
4,Hoary Vervane,0
4,White Sweet Clover,0
4,Yellow Sweet Clover,0
4,St. John's Wort,0
5,Common Milkweed Ramet,231
5,Swamp Milkweed Ramet,0
5,Butterfly Milkweed Ramet,2
5,Daisy Fleabone ,220
5,Queen Ann's Lace,0
5,Canada Lettuce,0
5,Wild Bergamot,539
5,Brown Eyed Susan,1141
5,Grey Coneflower,362
5,Black Eyed Susan,135
5,Ox Eye Sunflower,2
5,Pale Purple Coneflower,3
