monarchrunid,uniqueid,order,date,release,spatialconfig,timecdt,duration,durationsec,behaviorclassification,surface,locatione,locationn,landcoverclassification,turnangle,steplength,bearing,turnwithin
19026a,1,1,7/2/2019,corn,mixed,11:05:00,0:00:38,38,release,corn,525671.034,4751949.143,crop,,68.06238064,75.49518212,
19026a,2,2,7/2/2019,corn,mixed,11:06:20,0:00:03,3,rest,wild bergamot,525736.927,4751966.19,rich,15.01990323,103.3391759,90.51508536,
19026a,3,3,7/2/2019,corn,mixed,11:07:01,0:00:03,3,rest,wild bergamot,525840.262,4751965.261,rich,-12.92510627,21.50241012,77.58997908,TRUE
19026a,4,4,7/2/2019,corn,mixed,11:07:39,0:00:01,1,fly,air,525861.262,4751969.882,rich,,,,
19034a,5,1,7/2/2019,corn,mixed,10:23:00,0:02:14,134,release,corn,525673.12,4751949.934,crop,,0.856572239,50.39997342,
19034a,6,2,7/2/2019,corn,mixed,10:25:16,0:07:39,459,rest,bare ground,525673.78,4751950.48,crop,62.98406666,3.610551897,113.3840401,TRUE
19034a,7,3,7/2/2019,corn,mixed,10:33:40,0:00:45,45,rest,corn,525677.094,4751949.047,crop,73.21102715,4.170598279,186.5950672,TRUE
19034a,8,4,7/2/2019,corn,mixed,10:34:50,0:00:45,45,rest,corn,525676.615,4751944.904,crop,-1.894249835,2.196388172,184.7008174,TRUE
19034a,9,5,7/2/2019,corn,mixed,10:36:00,0:08:00,480,rest,corn,525676.435,4751942.715,crop,-95.9620295,9.586322392,88.7387879,
19034a,10,6,7/2/2019,corn,mixed,10:44:10,0:00:45,45,rest,senesded thistle,525686.019,4751942.926,rich,-65.90809745,19.69282562,22.83069044,
19034a,11,7,7/2/2019,corn,mixed,10:45:00,0:01:45,105,rest,common milkweed,525693.66,4751961.076,rich,-64.98916317,9.399814093,317.8415273,TRUE
19034a,12,8,7/2/2019,corn,mixed,10:46:55,0:00:10,10,rest,senesed foxglove,525687.351,4751968.044,rich,-28.52338144,4.041554775,289.3181458,TRUE
19034a,13,9,7/2/2019,corn,mixed,10:47:15,0:00:10,10,rest,grass,525683.537,4751969.381,rich,51.80536511,37.75239171,341.1235109,
19034a,14,10,7/2/2019,corn,mixed,10:47:29,0:00:01,1,rest,corn,525671.323,4752005.103,crop,,,,
19041a,15,1,7/2/2019,prairie,mixed,11:43:00,0:01:20,80,release,brown eyed susan,525689.686,4751957.85,rich,,3.914274645,288.5460408,
19041a,16,2,7/2/2019,prairie,mixed,11:44:22,0:02:50,170,feed,common milkweed,525685.975,4751959.095,rich,84.07493157,1.011439569,12.62097242,TRUE
19041a,17,3,7/2/2019,prairie,mixed,11:47:14,0:00:09,9,feed,common milkweed,525686.196,4751960.082,rich,-78.22153654,0.74559037,294.3994359,TRUE
19041a,18,4,7/2/2019,prairie,mixed,11:47:26,0:00:47,47,feed,common milkweed,525685.517,4751960.39,rich,-76.66148676,0.330037877,217.7379491,TRUE
19041a,19,5,7/2/2019,prairie,mixed,11:48:16,0:00:24,24,feed,common milkweed,525685.315,4751960.129,rich,-70.2879526,1.226684964,147.4499965,TRUE
