"","monarchrunid","ctmmlabel.x","occurrence.model","ctmmlabel.y","year","monarchid","runid","releasesiteid","monarchcatchsite","monarchcatchdate","monarchmass","trialdate","dayscaptive","trialsite","samecatchtrial","attachment","transmitterid","transantenna","experiment","temp","tempc","cloud","windspeed","windkph","winddirection","starttime","endtime","timeobs","secobserved","numpoints","firstlandon","fly","dudtime","Release","releaseN","releaseE","lastN","lastE","lastlandcover","euclidiandistance","euclidianbearing","windbearing","windcor","adjeucbear","euclidianbearingdeg","adjeucbeardeg"
"2","19026a","ac","yes","ac",2019,19026,"a",NA,"GM","6/28/2019",NA,"7/2/2019",4,"GM","y","none",NA,"","habitatutilization",84,28.88888889,"mostly clear",1.5,2.4135,"E","11:05:00","11:07:00","0:02:00",120,4,"vegetation","fly",NA,"corn",4751966.19,525736.927,525861.262,4751969.882,"na",124.389803,88.29916051,90,-1.70083949000001,358.29916051,88.29916051,358.29916051
"4","19034a","ae","yes","ae",2019,19034,"a",NA,"Jesse","6/30/2019",0.3262,"7/2/2019",2,"GM","n","none",NA,"","habitatutilization",78.8,26,"mostly cloudy",1.3,2.0917,"E","10:23:00","10:50:00","0:27:00",1620,10,"bare ground","fly",NA,"corn",4751949.934,525673.12,525671.323,4752005.103,"corn",55.19825876,358.1343848,90,268.1343848,268.1343848,358.1343848,268.1343848
"6","19041a","ag","yes","ag",2019,19041,"a",NA,"Jesse","6/30/2019",NA,"7/2/2019",2,"GM","n","none",NA,"","habitatutilization",83.3,28.5,"mostly clear",3.2,5.1488,"E","11:43:00","11:51:00","0:08:00",480,10,"common milkweed bloom","fly",NA,"prairie",4751957.85,525689.686,525676.278,4751948.668,"corn",16.25064885,235.5960703,90,145.5960703,145.5960703,235.5960703,145.5960703
"7","19049a","ai","yes","ai",2019,19049,"a",6,"GM","7/15/2019",NA,"7/16/2019",1,"GM","y","transmitter",90,"bent","habitatutilization",75.6,24.22222222,"mostly clear",3.2,5.1488,"NNE","9:18:00","9:29:13","0:11:13",673,3,"grass","fly",NA,"prairie",4751729.856,525684.7229,525689.361,4751731.293,"na",4.85560919,72.78570441,22.5,50.28570441,50.28570441,72.78570441,50.28570441
"8","19049b","aj","yes","aj",2019,19049,"b",6,"GM","7/15/2019",NA,"7/17/2019",2,"GM","y","none",NA,"","habitatutilization",81.8,27.66666667,"mostly cloudy",0.8,1.2872,"NNE","9:46:00","9:57:45","0:11:45",705,8,"oxeye sunflower","fly",NA,"prairie",4751726.422,525694.889,525722.3372,4751771.005,"prairie",52.35501478,31.61915979,22.5,9.11915979,9.11915979,31.61915979,9.11915979
"9","19050a","ak","yes","ak",2019,19050,"a",6,"GM","7/15/2019",NA,"7/17/2019",2,"GM","y","none",NA,"","habitatutilization",86.5,30.27777778,"cloudy",1.5,2.4135,"N","11:18:00","11:26:50","0:08:50",530,13,"vegetative wild bergamot","fly",NA,"prairie",4751726.456,525694.501,525868.1691,4751959.203,"na",290.3993371,36.72908057,0,36.72908057,36.72908057,36.72908057,36.72908057
"10","19051a","al","","al",2019,19051,"a",6,"GM","7/15/2019",0.3269,"7/16/2019",1,"GM","y","transmitter",90,"bent","habitatutilization",84.2,29,"mostly clear",5.3,8.5277,"NNE","11:10:00","11:45:00","0:35:00",2100,4,"grass","fly",NA,"prairie",4751721.502,525679.8483,525704.1479,4751827.367,"prairie",108.6179948,12.92739486,22.5,-9.57260514,350.42739486,12.92739486,350.42739486
"11","19051b","am","yes","am",2019,19051,"b",6,"GM","7/15/2019",0.3269,"7/17/2019",2,"GM","y","none",NA,"","habitatutilization",82.8,28.22222222,"cloudy",3.1,4.9879,"NNE","10:21:00","10:32:00","0:11:00",660,12,"grey headed coneflower","fly",NA,"prairie",4751726.343,525694.3631,525844.3083,4751957.131,"prairie",275.2211183,33.01217284,22.5,10.51217284,10.51217284,33.01217284,10.51217284
"14","19054a","ap","yes","ap",2019,19054,"a",6,"GM","7/15/2019",0.4082,"7/16/2019",1,"GM","y","transmitter",90,"bent","habitatutilization",76.2,24.55555556,"mostly cloudy",2.6,4.1834,"N","10:23:00","10:56:00","0:33:00",1980,3,"grass","fly",NA,"prairie",4751721.329,525679.2939,525677.696,4751719.106,"na",2.737702214,215.7087095,0,215.7087095,215.7087095,215.7087095,215.7087095
"15","19055a","aq","yes","aq",2019,19055,"a",9,"GM","7/15/2019",NA,"7/18/2019",3,"GM","y","none",NA,"","habitatutilization",89.2,31.77777778,"mostly cloudy",3.1,4.9879,"N","12:29:00","12:40:22","0:11:22",682,6,"wild bergamot","fly",NA,"corn",4751773.08,525672.8631,525791.2999,4751949.341,"prairie",212.3563414,33.89872875,0,33.89872875,33.89872875,33.89872875,33.89872875
