monarchrunid,Release
19025a,crop
19190a,crop
19052a,crop
19170a,crop
19026a,crop
19034a,crop
19055a,crop
19069a,crop
19130a,crop
19131a,crop
19132a,crop
19134a,crop
19136a,crop
19137a,crop
19161a,crop
19162a,crop
19163a,crop
19171a,crop
19191a,crop
19192a,crop
19193a,crop
19194a,crop
20019a,poor roadside
20033a,poor roadside
20059a,poor roadside
20065b,poor roadside
20066a,poor roadside
20071a,poor roadside
20071b,poor roadside
20072a,poor roadside
20080a,poor roadside
20084a,poor roadside
20093a,poor roadside
20034a,poor roadside
20035a,poor roadside
20036a,poor roadside
20038b,poor roadside
20039b,poor roadside
20042a,poor roadside
20043a,poor roadside
20045a,poor roadside
20050a,poor roadside
20058a,poor roadside
20060a,poor roadside
20063a,poor roadside
20065a,poor roadside
20068a,poor roadside
20069a,poor roadside
20072b,poor roadside
20073a,poor roadside
20074a,poor roadside
20076a,poor roadside
20079a,poor roadside
20083a,poor roadside
20085a,poor roadside
20086a,poor roadside
20088a,poor roadside
20090a,poor roadside
20012a,poor roadside
20014a,poor roadside
20016a,poor roadside
20022a,poor roadside
20037a,poor roadside
20044a,poor roadside
20048a,poor roadside
20049a,poor roadside
20061a,poor roadside
20064a,poor roadside
20067a,poor roadside
20070a,poor roadside
20077a,poor roadside
20078a,poor roadside
20087a,poor roadside
20089a,poor roadside
20091a,poor roadside
20092a,poor roadside
20094a,poor roadside
19080a,edge
19083a,edge
19087a,edge
19091b,edge
19103a,edge
19115a,edge
19120a,edge
19121a,edge
19133a,edge
19144a,edge
19157a,edge
19159a,edge
19160a,edge
19196a,edge
19079a,edge
19082a,edge
19085a,edge
19090a,edge
19091a,edge
19098a,edge
19105a,edge
19106a,edge
19108a,edge
19119a,edge
19123a,edge
19125a,edge
19127a,edge
19158a,edge
19172a,edge
19173a,edge
19197a,edge
19198a,edge
19200a,edge
19174b,poor
19178b,poor
19138a,poor
19139a,poor
19164a,poor
19165a,poor
19167a,poor
19168a,poor
19174a,poor
19175a,poor
19176a,poor
19179a,poor
19180a,poor
19181a,poor
19182a,poor
19183a,poor
19184a,poor
19185a,poor
19186a,poor
19187a,poor
19188a,poor
19189a,poor
19028a,rich
19040a,rich
19053a,rich
19071a,rich
19072a,rich
19077a,rich
19149a,rich
19041a,rich
19049a,rich
19049b,rich
19050a,rich
19051a,rich
19051b,rich
19054a,rich
19070a,rich
19073a,rich
19074a,rich
19078a,rich
19140a,rich
19142a,rich
19143a,rich
19147a,rich
19149b,rich
19151a,rich
19153a,rich
20026a,rich roadside
20084b,rich roadside
20088b,rich roadside
20090b,rich roadside
20096a,rich roadside
20097a,rich roadside
20098a,rich roadside
20101a,rich roadside
20028a,rich roadside
20029a,rich roadside
20038a,rich roadside
20039a,rich roadside
20040a,rich roadside
20041a,rich roadside
20048b,rich roadside
20050b,rich roadside
20076b,rich roadside
20104a,rich roadside
20009a,rich roadside
20010a,rich roadside
20011a,rich roadside
20030a,rich roadside
20031a,rich roadside
20046a,rich roadside
20047a,rich roadside
20051a,rich roadside
20052a,rich roadside
20053a,rich roadside
20054a,rich roadside
20055a,rich roadside
20056a,rich roadside
20057a,rich roadside
20080b,rich roadside
20081a,rich roadside
20082a,rich roadside
20095a,rich roadside
20097b,rich roadside
20105a,rich roadside
