,monarchrunid,ctmmlabel,ctmmsuccess,year,monarchid,runid,releasesiteid,monarchcatchsite,monarchcatchdate,monarchmass,trialdate,dayscaptive,trialsite,samecatchtrial,attachment,transmitterid,transantenna,experiment,temp,tempc,cloud,windspeed,windkph,winddirection,starttime,endtime,timeobs,secobserved,numpoints,firstlandon,fly,dudtime,Release,releaseN,releaseE,lastN,lastE,lastlandcover,euclidiandistance,euclidianbearing
48,19133a,by,dud,2019,19133,a,NA,GM,7/23/2019,0.3628,7/24/2019,1,GM,y,transmitter,89,bent,habitatutilization,88.6,31.44444444,clear,0.5,0.8045,SE,12:49,12:52:50,0:03:50,230,0,,dud,4,edge,NA,NA,NA,NA,,NA,NA
1,19025a,ab,dud,2019,19025,a,NA,GM,6/28/2019,0.2807,7/2/2019,4,GM,y,none,NA,,habitatutilization,87.8,31,clear,2.5,4.0225,E,12:32,12:37,0:05:00,300,0,,dud,5,corn,NA,NA,NA,NA,,NA,NA
38,19115a,bo,dud,2019,19115,a,NA,GM,7/21/2019,0.3868,7/23/2019,2,GM,y,none,NA,,habitatutilization,75.7,24.27777778,clear,3.5,5.6315,SSE,10:04,10:09,0:05:00,300,0,,dud,5,edge,NA,NA,NA,NA,,NA,NA
3,19028a,ad,dud,2019,19028,a,NA,GM,6/28/2019,0.3058,7/2/2019,4,GM,y,none,NA,,habitatutilization,77.4,25.22222222,cloudy,0,0,E,9:50,10:05,0:15:00,900,0,,dud,15,prairie,NA,NA,NA,NA,,NA,NA
5,19040a,af,dud,2019,19040,a,NA,Jesse,6/30/2019,NA,7/2/2019,2,GM,n,none,NA,,habitatutilization,85.8,29.88888889,clear,0,0,E,9:25:00,9:40:00,0:15:00,900,0,,dud,15,prairie,NA,NA,NA,NA,,NA,NA
13,19053a,ao,dud,2019,19053,a,NA,GM,7/15/2019,0.2727,7/16/2019,1,GM,y,transmitter,90,bent,habitatutilization,77.7,25.38888889,mostly clear,4,6.436,NNE,9:45,10:00,0:15:00,900,0,,dud,15,prairie,NA,NA,NA,NA,,NA,NA
18,19071a,at,dud,2019,19071,a,NA,GM,7/17/2019,0.2483,7/19/2019,2,GM,y,transmitter,89,bent,habitatutilization,87.5,30.83333333,clear,5.5,8.8495,NE,10:13,10:28,0:15:00,900,0,,dud,15,prairie,NA,NA,NA,NA,,NA,NA
19,19072a,au,dud,2019,19072,a,NA,GM,7/17/2019,0.2119,7/19/2019,2,GM,y,transmitter,89,bent,habitatutilization,92.9,33.83333333,clear,4.4,7.0796,NE,10:35,10:50,0:15:00,900,0,,dud,15,prairie,NA,NA,NA,NA,,NA,NA
22,19077a,ax,dud,2019,19077,a,NA,GM,7/18/2019,0.2003,7/20/2019,2,GM,y,transmitter,89,bent,habitatutilization,84.6,29.22222222,cloudy,4.1,6.5969,NE,10:00,10:15:00,0:15:00,900,0,,dud,15,prairie,NA,NA,NA,NA,,NA,NA
25,19080a,ba,dud,2019,19080,a,NA,GM,7/18/2019,0.2453,7/21/2019,3,GM,y,transmitter,89,bent,habitatutilization,73.2,22.88888889,cloudy,5.1,8.2059,SSE,9:53,10:08,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
27,19083a,bc,dud,2019,19083,a,NA,GM,7/19/2019,0.4806,7/21/2019,2,GM,y,none,NA,,habitatutilization,83.2,28.44444444,cloudy,3.1,4.9879,SSW,12:45,13:00,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
29,19087a,be,dud,2019,19087,a,NA,GM,7/20/2019,0.2588,7/21/2019,1,GM,y,transmitter,89,bent,habitatutilization,82.1,27.83333333,cloudy,2.4,3.8616,SSW,,,,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
32,19091b,bi,dud,2019,19091,b,NA,GM,7/21/2019,0.2993,7/22/2019,1,GM,y,transmitter,89,bent,habitatutilization,79.7,26.5,clear,0.8,1.2872,SW,9:03,9:18,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
34,19103a,bk,dud,2019,19103,a,NA,GM,7/21/2019,0.3035,7/23/2019,2,GM,y,transmitter,88,bent,habitatutilization,83,28.33333333,mostly cloudy,3.1,4.9879,S,11:41,11:56,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
40,19120a,bq,dud,2019,19120,a,NA,GM,7/22/2019,0.3934,7/23/2019,1,GM,y,none,NA,,habitatutilization,78.9,26.05555556,clear,3.5,5.6315,SE,10:48,11:03,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
41,19121a,br,dud,2019,19121,a,NA,GM,7/22/2019,0.4507,7/23/2019,1,GM,y,none,NA,,habitatutilization,77.9,25.5,clear,4.2,6.7578,S,11:11,11:26,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
57,19144a,ch,dud,2019,19144,a,NA,GM,7/24/2019,0.3391,7/28/2019,4,GM,y,none,NA,,habitatutilization,73.5,23.05555556,mostly cloudy,3.5,5.6315,NNE,8:18,8:33,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
63,19157a,cn,dud,2019,19157,a,NA,GM,7/30/2019,0.3537,8/1/2019,2,GM,y,transmitter,13,straight,habitatutilization,81.4,27.44444444,mostly cloudy,0.4,0.6436,N,9:20,9:35,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
65,19159a,cp,dud,2019,19159,a,NA,GM,7/31/2019,0.4331,8/1/2019,1,GM,y,transmitter,13,straight,habitatutilization,89.4,31.88888889,mostly clear,0.4,0.6436,N,10:35,10:50,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
66,19160a,cq,dud,2019,19160,a,NA,GM,7/31/2019,0.261,8/1/2019,1,GM,y,transmitter,13,straight,habitatutilization,94.7,34.83333333,mostly cloudy,1.5,2.4135,N,11:04,11:19,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
79,19174b,dd,dud,2019,19174,b,NA,GM,8/4/2019,0.4384,8/5/2019,1,GM,y,none,NA,,habitatutilization,70,21.11111111,mostly cloudy,2,3.218,N,7:47,8:02,0:15:00,900,0,,dud,15,grass,NA,NA,NA,NA,,NA,NA
82,19178b,dh,dud,2019,19178,b,NA,GM,8/5/2019,0.28887,8/6/2019,1,GM,y,none,NA,,habitatutilization,73.2,22.88888889,mostly cloudy,0.6,0.9654,S,8:30,8:45,0:15:00,900,0,,dud,15,grass,NA,NA,NA,NA,,NA,NA
94,19190a,dt,dud,2019,19190,a,NA,GM,8/6/2019,0.3569,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,65.5,18.61111111,clear,3.5,5.6315,SE,8:13,8:28,0:15:00,900,0,,dud,15,corn,NA,NA,NA,NA,,NA,NA
99,19196a,dy,dud,2019,19196,a,NA,GM,8/7/2019,0.4306,8/9/2019,2,GM,y,transmitter,16,straight,habitatutilization,66.6,19.22222222,mostly clear,0,0,SW,8:47,9:02,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA
103,20019a,ej,dud,2020,20019,a,1,jesse,6/22/2020,0.171,6/25/2020,3,east,n,transmitter,164.2,straight,roadside,83,28.33333333,clear,4.5,7.2405,S,11:41:00,11:56:00,0:15:00,900,0,,dud,15,east,NA,NA,NA,NA,,NA,NA
158,20026a,em,dud,2020,20026,a,2,jesse,6/27/2020,NA,6/29/2020,2,west,n,none,NA,,roadside,82.5,28.05555556,mostly cloudy,8.9,14.3201,N,9:24:00,9:39:00,0:15:00,900,0,,dud,15,west,NA,NA,NA,NA,,NA,NA
104,20033a,es,dud,2020,20033,a,1,jesse,6/29/2020,0.2004,7/1/2020,2,east,n,transmitter,164.2,straight,roadside,73,22.77777778,cloudy,7,11.263,NW,9:11:00,9:26:00,0:15:00,900,0,,dud,15,east,NA,NA,NA,NA,,NA,NA
105,20059a,fy,dud,2020,20059,a,1,ad prairie,7/19/2020,0.1639,7/20/2020,1,east,n,transmitter,164.065,straight,roadside,76,24.44444444,cloudy,0,0,,9:18:00,9:33:00,0:15:00,900,0,,dud,15,east,NA,NA,NA,NA,,NA,NA
106,20065b,gf,dud,2020,20065,b,1,uthe,7/22/2020,0.1552,7/24/2020,2,east,n,none,NA,,roadside,71.5,21.94444444,clear,2,3.218,N,7:22:00,7:37:00,0:15:00,900,0,,dud,15,east,NA,NA,NA,NA,,NA,NA
107,20066a,gg,dud,2020,20066,a,1,uthe,7/22/2020,0.152,7/24/2020,2,east,n,transmitter,165.364,straight,roadside,71,21.66666667,clear,7,11.263,NW,7:45:00,8:00:00,0:15:00,900,0,,dud,15,east,NA,NA,NA,NA,,NA,NA
108,20071a,gl,dud,2020,20071,a,1,ad prairie,7/24/2020,0.1707,7/25/2020,1,east,n,transmitter,165.364,straight,roadside,71,21.66666667,cloudy,2,3.218,NNW,7:17:00,7:32:00,0:15:00,900,0,,dud,15,east,NA,NA,NA,NA,,NA,NA
109,20071b,gm,dud,2020,20071,b,1,ad prairie,7/24/2020,0.1707,7/27/2020,3,east,n,transmitter,165.364,straight,roadside,75.5,24.16666667,mostly cloudy,0,0,,8:57:00,9:12:00,0:15:00,900,0,,dud,15,east,NA,NA,NA,NA,,NA,NA
110,20072a,gn,dud,2020,20072,a,1,ad prairie,7/24/2020,0.1931,7/25/2020,1,east,n,transmitter,165.364,straight,roadside,75.8,24.33333333,cloudy,4,6.436,NNW,7:44:00,7:59:00,0:15:00,900,0,,dud,15,east,NA,NA,NA,NA,,NA,NA
111,20080a,gx,dud,2020,20080,a,1,ad prairie,7/25/2020,0.1775,7/27/2020,2,east,n,transmitter,165.364,straight,roadside,83,28.33333333,clear,4,6.436,N,13:04:00,13:19:00,0:15:00,900,0,,dud,15,east,NA,NA,NA,NA,,NA,NA
112,20084a,hc,dud,2020,20084,a,1,ad prairie,7/29/2020,0.1562,7/30/2020,1,east,n,transmitter,165.558,straight,roadside,74,23.33333333,mostly clear,7.8,12.5502,SW,9:44:00,9:59:00,0:15:00,900,0,,dud,15,east,NA,NA,NA,NA,,NA,NA
159,20084b,hd,dud,2020,20084,b,2,ad prairie,7/29/2020,0.1562,8/1/2020,3,west,n,transmitter,165.464,straight,roadside,80.5,26.94444444,mostly clear,3.8,6.1142,SE,12:53:00,13:23:00,0:30:00,1800,0,,dud,15,west,NA,NA,NA,NA,,NA,NA
160,20088b,hi,dud,2020,20088,b,2,jesse,7/29/2020,0.2185,8/1/2020,3,west,n,transmitter,165.464,straight,roadside,82.5,28.05555556,mostly clear,4.4,7.0796,SE,14:06:00,14:36:00,0:30:00,1800,0,,dud,15,west,NA,NA,NA,NA,,NA,NA
161,20090b,hl,dud,2020,20090,b,2,ad prairie,7/30/2020,0.2331,8/1/2020,2,west,n,transmitter,165.464,straight,roadside,83,28.33333333,mostly clear,3.1,4.9879,SE,13:29:00,13:59:00,0:30:00,1800,0,,dud,15,west,NA,NA,NA,NA,,NA,NA
113,20093a,ho,dud,2020,20093,a,1,jesse,7/30/2020,0.1307,8/1/2020,2,east,n,transmitter,165.157,straight,roadside,73,22.77777778,mostly clear,1.5,2.4135,SSW,9:18:00,9:33:00,0:15:00,900,0,,dud,15,east,NA,NA,NA,NA,,NA,NA
162,20096a,hr,dud,2020,20096,a,2,jesse,7/30/2020,0.1565,8/1/2020,2,west,n,transmitter,165.464,straight,roadside,79,26.11111111,mostly clear,5.5,8.8495,SE,12:17:00,12:47:00,0:30:00,1800,0,,dud,15,west,NA,NA,NA,NA,,NA,NA
163,20097a,hs,dud,2020,20097,a,2,ad prairie,8/1/2020,NA,8/4/2020,3,west,n,transmitter,165.46,straight,roadside,71.5,21.94444444,mostly cloudy,0,0,SW,11:19:00,11:34:00,0:15:00,900,0,,dud,15,west,NA,NA,NA,NA,,NA,NA
