monarchrunid,ctmmlabel,ctmmsuccess,map,year,monarchid,runid,releasesiteid_arcmap,releasesiteid_repid,releasesiteid,monarchcatchsite,monarchcatchdate,monarchmass,trialdate,dayscaptive,trialsite,samecatchtrial,attachment,transmitterid,transantenna,experiment,temp,tempc,cloud,windspeed,windkph,winddirection,starttime,endtime,timeobs,secobserved,numpoints,firstlandon,15mindud,dudtime,finaldud,Responsiveness,Release,releaselandclass,releaseN,releaseE,lastN,lastE,lastlandcover,euclidiandistance,euclidianbearing,total.distance,stepover50,stepclass50,numstepsover50,stepover100,avgstep,turnstdev,step01,step02,step03,step04,step05,step06,step07,step08,step09,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19,step20,step21,step22,step23,step24,step25,step26,step27,step28,step29,step30,step31,step32,step33,step34,step35,turn01,turn02,turn03,turn04,turn05,turn06,turn07,turn08,turn09,turn10,turn11,turn12,turn13,turn14,turn15,turn16,turn17,turn18,turn19,turn20,turn21,turn22,turn23,turn24,turn25,turn26,turn27,turn28,turn29,turn30,turn31,turn32,turn33,turn34,bearing01,bearing02,bearing03,bearing04,bearing05,bearing06,bearing07,bearing08,bearing09,bearing10,bearing11,bearing12,bearing13,bearing14,bearing15,bearing16,bearing17,bearing18,bearing19,bearing20,bearing21,bearing22,bearing23,bearing24,bearing25,bearing26,bearing27,bearing28,bearing29,bearing30,bearing31,bearing32,bearing33,bearing34,bearing35,windbearing,remaincross,freqcross,timebefore50mstep,timebeforecross,totalpts,croppts,edge5mpts,poorpts,richpts,totaltime,croptime,edge5mtime,poortime,richtime,firstbigsteplength,durationtofirstbigstep,stepspriortofirstbig,bigcrossfrom,bigcrossto,biginitiatefromrelease
19025a,ab,dud,dud,2019,19025,a,,,NA,GM,6/28/2019,0.2807,7/2/2019,4,GM,y,none,NA,,habitatutilization,87.8,31,clear,2.5,4.0225,E,12:32,12:37,0:05:00,300,0,,dud,5,dud,Unresponsive,corn,crop,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,,,,,,,,,,,,,,,,,,,,
19052a,an,no,no,2019,19052,a,1,,NA,GM,7/15/2019,NA,7/18/2019,3,GM,y,none,NA,,habitatutilization,84.5,29.16666667,clear,2.6,4.1834,N,12:11:00,12:15:00,0:04:00,240,1,lost,dud,NA,dud,Unresponsive,corn,crop,4751773.37,525672.5944,525672.5944,4751773.37,grass,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
19170a,cy,no,yes,2019,19170,a,1,,NA,GM,8/2/2019,0.241,8/4/2019,2,GM,y,transmitter,14,straight,habitatutilization,84,28.88888889,clear,0,0,NW,9:15:00,9:34:00,0:19:00,1140,1,corn,dud,NA,dud,Unresponsive,corn,crop,4751771.151,525675.9098,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,,,,,,,,,,,,,,,,,,,,
19190a,dt,dud,dud,2019,19190,a,,,NA,GM,8/6/2019,0.3569,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,65.5,18.61111111,clear,3.5,5.6315,SE,8:13,8:28,0:15:00,900,0,,dud,15,dud,Unresponsive,corn,crop,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,,,,,,,,,,,,,,,,,,,,
20019a,ej,dud,dud,2020,20019,a,,,1,jesse,6/22/2020,0.171,6/25/2020,3,east,n,transmitter,164.2,straight,roadside,83,28.33333333,clear,4.5,7.2405,S,11:41:00,11:56:00,0:15:00,900,0,,dud,15,dud,Unresponsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,,,,,,,,,,,,,,,,,,,,
20033a,es,dud,dud,2020,20033,a,,,1,jesse,6/29/2020,0.2004,7/1/2020,2,east,n,transmitter,164.2,straight,roadside,73,22.77777778,cloudy,7,11.263,NW,9:11:00,9:26:00,0:15:00,900,0,,dud,15,dud,Unresponsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,,,,,,,,,,,,,,,,,,,,
20034a,et,dud,dud,2020,20034,a,,,1,jesse,6/29/2020,0.1918,7/1/2020,2,east,n,transmitter,164.2,straight,roadside,76,24.44444444,cloudy,5,8.045,NW,9:35:00,10:05:00,0:30:00,1800,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,,,,,,,,,,,,,,,,,,,,
20035a,eu,dud,dud,2020,20035,a,,,1,jesse,6/29/2020,0.1604,7/1/2020,2,east,n,transmitter,164.2,straight,roadside,76,24.44444444,cloudy,3.5,5.6315,WNW,10:20:00,11:14:00,0:54:00,3240,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
20036a,ev,dud,dud,2020,20036,a,,,1,jesse,6/29/2020,0.2541,7/1/2020,2,east,n,transmitter,164.2,straight,roadside,77,25,cloudy,3,4.827,WSW,11:36:00,12:13:00,0:37:00,2220,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
20038b,ey,dud,dud,2020,20038,b,,,1,jesse,7/7/2020,0.1646,7/10/2020,3,east,n,transmitter,164.955,straight,roadside,79,26.11111111,clear,4,6.436,SSE,8:43:00,9:14:00,0:31:00,1860,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,,,,,,,,,,,,,,,,,,,,
