value,count,ctmmlabel,class,occu
1,84447.00000000000,az,rich,low
1,88610.00000000000,az,poor,low
1,13790.00000000000,az,edge,low
1,71811.00000000000,av,rich,low
1,179.00000000000,av,edge,low
1,491782.00000000000,as,rich,low
1,202039.00000000000,as,poor,low
1,63986.00000000000,as,edge,low
1,11187.00000000000,aq,rich,low
1,3264.00000000000,aq,poor,low
1,822.00000000000,aq,edge,low
1,705.00000000000,aq,crop,low
1,2184597.00000000000,ak,rich,low
1,689869.00000000000,ak,poor,low
1,198259.00000000000,ak,edge,low
1,17003.00000000000,aj,rich,low
1,15390.00000000000,ac,rich,low
1,6990.00000000000,ac,poor,low
1,2902.00000000000,ac,edge,low
1,1296.00000000000,ac,crop,low
1,27662.00000000000,bt,rich,low
1,29318.00000000000,bt,poor,low
1,8338.00000000000,bt,edge,low
1,20283.00000000000,bt,crop,low
1,141.00000000000,bs,rich,low
1,115.00000000000,bs,edge,low
1,22131.00000000000,bp,rich,low
1,3372.00000000000,bp,edge,low
1,11478.00000000000,bn,rich,low
1,2405.00000000000,bn,edge,low
1,42.00000000000,bm,rich,low
1,38.00000000000,bm,edge,low
1,14238.00000000000,cv,rich,low
1,4671.00000000000,cv,poor,low
1,1849.00000000000,cv,edge,low
1,5555.00000000000,cu,poor,low
1,640.00000000000,cu,edge,low
1,390.00000000000,cr,crop,low
1,84497.00000000000,cd,poor,low
1,8256.00000000000,ca,rich,low
1,1061.00000000000,ca,poor,low
1,1612.00000000000,ca,edge,low
1,1592.00000000000,ca,crop,low
1,497.00000000000,dx,rich,low
1,24162.00000000000,dx,poor,low
1,4003.00000000000,dx,edge,low
1,551.00000000000,dx,crop,low
1,497.00000000000,dw,rich,low
1,24162.00000000000,dw,poor,low
1,4003.00000000000,dw,edge,low
1,551.00000000000,dw,crop,low
1,34652.00000000000,dn,rich,low
1,55426.00000000000,dn,poor,low
1,18933.00000000000,dn,edge,low
1,22458.00000000000,db,rich,low
1,3342.00000000000,db,poor,low
1,2243.00000000000,db,edge,low
1,16627.00000000000,dm,poor,low
1,144217.00000000000,dl,poor,low
2,48690.00000000000,az,rich,low
2,53432.00000000000,az,poor,low
2,8163.00000000000,az,edge,low
2,40969.00000000000,av,rich,low
2,78.00000000000,av,edge,low
2,116524.00000000000,as,rich,low
2,179.00000000000,as,poor,low
2,27111.00000000000,as,edge,low
2,5437.00000000000,aq,rich,low
2,674.00000000000,aq,poor,low
2,896.00000000000,aq,edge,low
2,764.00000000000,aq,crop,low
2,251462.00000000000,am,rich,low
2,76281.00000000000,am,poor,low
2,11682.00000000000,am,edge,low
2,3358.00000000000,am,crop,low
2,553725.00000000000,ak,rich,low
2,135227.00000000000,ak,poor,low
2,24695.00000000000,ak,edge,low
2,11688.00000000000,aj,rich,low
2,4698.00000000000,ae,rich,low
2,2996.00000000000,ae,edge,low
2,7185.00000000000,ae,crop,low
2,9891.00000000000,ac,rich,low
2,4891.00000000000,ac,poor,low
2,1839.00000000000,ac,edge,low
2,725.00000000000,ac,crop,low
2,11382.00000000000,bt,rich,low
2,16409.00000000000,bt,poor,low
2,4685.00000000000,bt,edge,low
2,6537.00000000000,bt,crop,low
2,12.00000000000,bs,rich,low
2,20.00000000000,bs,edge,low
2,13867.00000000000,bp,rich,low
2,1784.00000000000,bp,edge,low
2,5582.00000000000,bn,rich,low
2,2053.00000000000,bn,edge,low
2,7.00000000000,bm,edge,low
2,3040.00000000000,cv,rich,low
2,541.00000000000,cv,poor,low
2,339.00000000000,cv,edge,low
2,2.00000000000,cu,poor,low
2,45.00000000000,cs,crop,low
2,19.00000000000,cr,crop,low
2,153390.00000000000,cm,rich,low
2,14479.00000000000,cm,poor,low
2,50562.00000000000,cm,edge,low
2,17306.00000000000,cd,poor,low
2,723.00000000000,ca,rich,low
2,56.00000000000,ca,poor,low
2,57.00000000000,ca,edge,low
2,155.00000000000,ca,crop,low
2,1478.00000000000,ea,rich,low
2,757.00000000000,ea,edge,low
2,1530.00000000000,dz,rich,low
2,757.00000000000,dz,edge,low
2,1023.00000000000,dx,rich,low
2,11586.00000000000,dx,poor,low
2,1533.00000000000,dx,edge,low
2,784.00000000000,dx,crop,low
2,1023.00000000000,dw,rich,low
2,11586.00000000000,dw,poor,low
2,1533.00000000000,dw,edge,low
2,784.00000000000,dw,crop,low
2,1039.00000000000,dq,rich,low
2,195.00000000000,dq,poor,low
2,278.00000000000,dq,edge,low
2,1039.00000000000,dp,rich,low
2,195.00000000000,dp,poor,low
2,278.00000000000,dp,edge,low
2,19653.00000000000,dn,rich,low
2,24402.00000000000,dn,poor,low
2,11559.00000000000,dn,edge,low
2,12940.00000000000,dj,poor,low
2,126.00000000000,di,rich,low
2,46.00000000000,di,poor,low
2,1146.00000000000,db,rich,low
2,87.00000000000,db,poor,low
2,135.00000000000,db,edge,low
2,9545.00000000000,dm,poor,low
2,29550.00000000000,dl,poor,low
3,35288.00000000000,az,rich,low
3,40243.00000000000,az,poor,low
3,6072.00000000000,az,edge,low
3,19356.00000000000,av,rich,low
3,168.00000000000,av,edge,low
3,71758.00000000000,as,rich,low
3,14.00000000000,as,edge,low
3,2886.00000000000,aq,rich,low
3,250.00000000000,aq,poor,low
3,292.00000000000,aq,edge,low
3,1108.00000000000,aq,crop,low
3,144490.00000000000,am,rich,low
3,38912.00000000000,am,poor,low
3,4966.00000000000,am,edge,low
3,1508.00000000000,am,crop,low
3,339124.00000000000,ak,rich,low
3,79958.00000000000,ak,poor,low
3,13131.00000000000,ak,edge,low
3,8507.00000000000,aj,rich,low
3,3444.00000000000,ae,rich,low
3,478.00000000000,ae,edge,low
3,3811.00000000000,ae,crop,low
3,7458.00000000000,ac,rich,low
3,3678.00000000000,ac,poor,low
3,1289.00000000000,ac,edge,low
3,508.00000000000,ac,crop,low
3,12230.00000000000,bt,rich,low
3,2538.00000000000,bt,poor,low
3,4833.00000000000,bt,edge,low
3,5909.00000000000,bt,crop,low
3,5.00000000000,bs,rich,low
3,7.00000000000,bs,edge,low
3,10191.00000000000,bp,rich,low
3,1977.00000000000,bp,edge,low
3,3181.00000000000,bn,rich,low
3,2023.00000000000,bn,edge,low
3,1.00000000000,bm,edge,low
3,1048.00000000000,cv,rich,low
3,123.00000000000,cv,poor,low
3,97.00000000000,cv,edge,low
3,5.00000000000,cs,crop,low
3,9.00000000000,cr,crop,low
3,27873.00000000000,cm,rich,low
3,3046.00000000000,cm,poor,low
3,6002.00000000000,cm,edge,low
3,25243.00000000000,cf,rich,low
3,15925.00000000000,cf,poor,low
3,6855.00000000000,cf,edge,low
3,4524.00000000000,cd,poor,low
3,39029.00000000000,cb,rich,low
3,8705.00000000000,cb,crop,low
3,127.00000000000,ca,rich,low
3,4.00000000000,ca,poor,low
3,11.00000000000,ca,edge,low
3,29.00000000000,ca,crop,low
3,2.00000000000,dz,rich,low
3,41.00000000000,dx,rich,low
3,4092.00000000000,dx,poor,low
3,727.00000000000,dx,edge,low
3,1530.00000000000,dx,crop,low
3,41.00000000000,dw,rich,low
3,4092.00000000000,dw,poor,low
3,727.00000000000,dw,edge,low
3,1530.00000000000,dw,crop,low
3,16507.00000000000,ds,rich,low
3,19376.00000000000,ds,poor,low
3,9.00000000000,ds,edge,low
3,137.00000000000,dq,rich,low
3,19.00000000000,dq,poor,low
3,29.00000000000,dq,edge,low
3,137.00000000000,dp,rich,low
3,19.00000000000,dp,poor,low
3,29.00000000000,dp,edge,low
3,13753.00000000000,dn,rich,low
3,11706.00000000000,dn,poor,low
3,8272.00000000000,dn,edge,low
3,2041.00000000000,dj,poor,low
3,1.00000000000,di,rich,low
3,770.00000000000,df,rich,low
3,127.00000000000,df,poor,low
3,88.00000000000,df,edge,low
3,32910.00000000000,de,poor,low
3,2366.00000000000,dc,rich,low
3,8173.00000000000,dc,poor,low
3,749.00000000000,dc,edge,low
3,42.00000000000,db,rich,low
3,3.00000000000,db,poor,low
3,18.00000000000,db,edge,low
3,7240.00000000000,dm,poor,low
3,16581.00000000000,dl,poor,low
4,28054.00000000000,az,rich,low
4,33229.00000000000,az,poor,low
4,4925.00000000000,az,edge,low
4,4967.00000000000,av,rich,low
4,187.00000000000,av,edge,low
4,42291.00000000000,as,rich,low
4,5582.00000000000,ar,rich,low
4,2063.00000000000,ar,edge,low
4,1715.00000000000,ar,crop,low
4,930.00000000000,aq,rich,low
4,108.00000000000,aq,poor,low
4,1207.00000000000,aq,crop,low
4,112319.00000000000,am,rich,low
4,28428.00000000000,am,poor,low
4,3984.00000000000,am,edge,low
4,857.00000000000,am,crop,low
4,249153.00000000000,ak,rich,low
4,56671.00000000000,ak,poor,low
4,8208.00000000000,ak,edge,low
4,6017.00000000000,aj,rich,low
4,1353.00000000000,ae,rich,low
4,114.00000000000,ae,edge,low
4,2951.00000000000,ae,crop,low
4,6036.00000000000,ac,rich,low
4,2950.00000000000,ac,poor,low
4,1076.00000000000,ac,edge,low
4,376.00000000000,ac,crop,low
4,380747.00000000000,bx,rich,low
4,364.00000000000,bx,poor,low
4,18467.00000000000,bx,edge,low
4,11163.00000000000,bx,crop,low
4,11118.00000000000,bt,rich,low
4,902.00000000000,bt,poor,low
4,2605.00000000000,bt,edge,low
4,4507.00000000000,bt,crop,low
4,4.00000000000,bs,rich,low
4,4.00000000000,bs,edge,low
4,6999.00000000000,bp,rich,low
4,2156.00000000000,bp,edge,low
4,2352.00000000000,bn,rich,low
4,1143.00000000000,bn,edge,low
4,3.00000000000,bm,edge,low
4,10550.00000000000,cz,crop,low
4,2123.00000000000,cx,rich,low
4,621.00000000000,cx,edge,low
4,273.00000000000,cv,rich,low
4,22.00000000000,cv,poor,low
4,11.00000000000,cv,edge,low
4,2.00000000000,cs,crop,low
4,3.00000000000,cr,crop,low
4,7476.00000000000,cm,rich,low
4,626.00000000000,cm,poor,low
4,1493.00000000000,cm,edge,low
4,2123.00000000000,ck,rich,low
4,621.00000000000,ck,edge,low
4,10016.00000000000,cf,rich,low
4,7843.00000000000,cf,poor,low
4,4785.00000000000,cf,edge,low
4,21463.00000000000,ce,rich,low
4,1906.00000000000,ce,edge,low
4,1017.00000000000,cd,poor,low
4,2324.00000000000,cc,poor,low
4,14468.00000000000,cb,rich,low
4,3828.00000000000,cb,crop,low
4,50.00000000000,ca,rich,low
4,1.00000000000,ca,poor,low
4,9.00000000000,ca,edge,low
4,14.00000000000,ca,crop,low
4,621.00000000000,ci,edge,low
4,2123.00000000000,ci,rich,low
4,1388.00000000000,dx,poor,low
4,238.00000000000,dx,edge,low
4,209.00000000000,dx,crop,low
4,1388.00000000000,dw,poor,low
4,238.00000000000,dw,edge,low
4,209.00000000000,dw,crop,low
4,605.00000000000,ds,rich,low
4,5837.00000000000,ds,poor,low
4,6.00000000000,ds,edge,low
4,44.00000000000,dq,rich,low
4,9.00000000000,dq,poor,low
4,16.00000000000,dq,edge,low
4,44.00000000000,dp,rich,low
4,9.00000000000,dp,poor,low
4,16.00000000000,dp,edge,low
4,8631.00000000000,dn,rich,low
4,5995.00000000000,dn,poor,low
4,6936.00000000000,dn,edge,low
4,325.00000000000,dj,poor,low
4,8.00000000000,df,rich,low
4,2.00000000000,df,edge,low
4,123.00000000000,de,poor,low
4,770.00000000000,dc,rich,low
4,1956.00000000000,dc,poor,low
4,165.00000000000,dc,edge,low
4,19.00000000000,db,rich,low
4,8.00000000000,db,edge,low
4,6262.00000000000,dm,poor,low
4,8601.00000000000,dl,poor,low
5,23419.00000000000,az,rich,low
5,28926.00000000000,az,poor,low
5,4225.00000000000,az,edge,low
5,184.00000000000,aw,rich,low
5,1759.00000000000,av,rich,low
5,135.00000000000,av,edge,low
5,26499.00000000000,as,rich,low
5,662.00000000000,ar,rich,low
5,139.00000000000,ar,edge,low
5,159.00000000000,ar,crop,low
5,383.00000000000,aq,rich,low
5,46.00000000000,aq,poor,low
5,424.00000000000,aq,crop,low
5,83871.00000000000,am,rich,low
5,30315.00000000000,am,poor,low
5,4624.00000000000,am,edge,low
5,632.00000000000,am,crop,low
5,200172.00000000000,ak,rich,low
5,42309.00000000000,ak,poor,low
5,5789.00000000000,ak,edge,low
5,4577.00000000000,aj,rich,low
5,1183.00000000000,ag,rich,low
5,132.00000000000,ag,edge,low
5,1007.00000000000,ag,crop,low
5,460.00000000000,ae,rich,low
5,24.00000000000,ae,edge,low
5,1801.00000000000,ae,crop,low
5,5227.00000000000,ac,rich,low
5,2448.00000000000,ac,poor,low
5,912.00000000000,ac,edge,low
5,297.00000000000,ac,crop,low
5,131952.00000000000,bx,rich,low
5,190.00000000000,bx,poor,low
5,8844.00000000000,bx,edge,low
5,7208.00000000000,bx,crop,low
5,8108.00000000000,bt,rich,low
5,584.00000000000,bt,poor,low
5,4701.00000000000,bt,edge,low
5,1991.00000000000,bt,crop,low
5,3.00000000000,bs,rich,low
5,8.00000000000,bs,edge,low
5,4668.00000000000,bp,rich,low
5,1322.00000000000,bp,edge,low
5,1526.00000000000,bn,rich,low
5,433.00000000000,bn,edge,low
5,2210190.00000000000,bl,rich,low
5,27477.00000000000,bl,poor,low
5,43127.00000000000,bl,edge,low
5,553803.00000000000,bl,crop,low
5,4202.00000000000,cz,crop,low
5,25.00000000000,cx,rich,low
5,4.00000000000,cx,edge,low
5,90.00000000000,cv,rich,low
5,7.00000000000,cv,poor,low
5,13.00000000000,cv,edge,low
5,1.00000000000,cs,crop,low
5,2.00000000000,cr,crop,low
5,1443.00000000000,cm,rich,low
5,198.00000000000,cm,poor,low
5,164.00000000000,cm,edge,low
5,25.00000000000,ck,rich,low
5,4.00000000000,ck,edge,low
5,5913.00000000000,cf,rich,low
5,3933.00000000000,cf,poor,low
5,2037.00000000000,cf,edge,low
5,9632.00000000000,ce,rich,low
5,1714.00000000000,ce,edge,low
5,77.00000000000,cd,poor,low
5,823.00000000000,cc,poor,low
5,4801.00000000000,cb,rich,low
5,1350.00000000000,cb,crop,low
5,25.00000000000,ca,rich,low
5,1.00000000000,ca,poor,low
5,5.00000000000,ca,edge,low
5,8.00000000000,ca,crop,low
5,4.00000000000,ci,edge,low
5,25.00000000000,ci,rich,low
5,98.00000000000,dx,poor,low
5,19.00000000000,dx,edge,low
5,15.00000000000,dx,crop,low
5,98.00000000000,dw,poor,low
5,19.00000000000,dw,edge,low
5,15.00000000000,dw,crop,low
5,427.00000000000,dv,rich,low
5,526.00000000000,dv,edge,low
5,56.00000000000,dv,crop,low
5,427.00000000000,du,rich,low
5,526.00000000000,du,edge,low
5,56.00000000000,du,crop,low
5,86.00000000000,ds,rich,low
5,1504.00000000000,ds,poor,low
5,21.00000000000,ds,edge,low
5,19.00000000000,dq,rich,low
5,9.00000000000,dq,poor,low
5,8.00000000000,dq,edge,low
5,19.00000000000,dp,rich,low
5,9.00000000000,dp,poor,low
5,8.00000000000,dp,edge,low
5,4433.00000000000,dn,rich,low
5,3644.00000000000,dn,poor,low
5,5214.00000000000,dn,edge,low
5,112.00000000000,dj,poor,low
5,1.00000000000,di,rich,low
5,1.00000000000,df,rich,low
5,2.00000000000,de,poor,low
5,172.00000000000,dc,rich,low
5,330.00000000000,dc,poor,low
5,21.00000000000,dc,edge,low
5,5.00000000000,db,rich,low
5,2.00000000000,db,poor,low
5,5365.00000000000,dm,poor,low
5,4998.00000000000,dl,poor,low
6,20172.00000000000,az,rich,low
6,26030.00000000000,az,poor,low
6,3776.00000000000,az,edge,low
6,2.00000000000,aw,rich,low
6,738.00000000000,av,rich,low
6,69.00000000000,av,edge,low
6,16901.00000000000,as,rich,low
6,161.00000000000,ar,rich,low
6,46.00000000000,ar,edge,low
6,24.00000000000,ar,crop,low
6,55.00000000000,aq,rich,low
6,18.00000000000,aq,poor,low
6,33.00000000000,aq,crop,low
6,51976.00000000000,am,rich,low
6,40937.00000000000,am,poor,low
6,6225.00000000000,am,edge,low
6,452.00000000000,am,crop,low
6,173090.00000000000,ak,rich,low
6,31047.00000000000,ak,poor,low
6,4177.00000000000,ak,edge,low
6,3685.00000000000,aj,rich,low
6,445.00000000000,ag,rich,low
6,367.00000000000,ag,crop,low
6,182.00000000000,ae,rich,low
6,15.00000000000,ae,edge,low
6,728.00000000000,ae,crop,low
6,4589.00000000000,ac,rich,low
6,2263.00000000000,ac,poor,low
6,768.00000000000,ac,edge,low
6,242.00000000000,ac,crop,low
6,38835.00000000000,bx,rich,low
6,329.00000000000,bx,poor,low
6,4501.00000000000,bx,edge,low
6,10912.00000000000,bx,crop,low
6,7304.00000000000,bt,rich,low
6,496.00000000000,bt,poor,low
6,2836.00000000000,bt,edge,low
6,1051.00000000000,bt,crop,low
