value,count,ctmmlabel,class,occu
1,2247.00000000000,fj,crop,low
1,129.00000000000,fj,edge,low
1,132.00000000000,fj,poor,low
1,777.00000000000,hx,edge,low
1,101.00000000000,hx,poor,low
1,365.00000000000,hx,rich,low
1,365.00000000000,ht,rich,low
1,101.00000000000,ht,poor,low
1,777.00000000000,ht,edge,low
1,365.00000000000,hq,rich,low
1,101.00000000000,hq,poor,low
1,777.00000000000,hq,edge,low
1,2196.00000000000,ha,rich,low
1,774.00000000000,ha,poor,low
1,1221.00000000000,ha,edge,low
1,83.00000000000,gy,poor,low
1,4.00000000000,gy,edge,low
2,9.00000000000,eq,edge,low
2,51.00000000000,eq,poor,low
2,48.00000000000,fi,crop,low
2,51.00000000000,fi,edge,low
2,58.00000000000,fi,poor,low
2,16.00000000000,fi,rich,low
2,179.00000000000,fj,crop,low
2,47.00000000000,fj,poor,low
2,9.00000000000,fq,edge,low
2,25.00000000000,fq,poor,low
2,9.00000000000,fr,edge,low
2,25.00000000000,fr,poor,low
2,57.00000000000,hx,edge,low
2,18.00000000000,hx,poor,low
2,42.00000000000,hx,rich,low
2,42.00000000000,ht,rich,low
2,18.00000000000,ht,poor,low
2,57.00000000000,ht,edge,low
2,42.00000000000,hq,rich,low
2,18.00000000000,hq,poor,low
2,57.00000000000,hq,edge,low
2,87.00000000000,ha,rich,low
2,32.00000000000,ha,poor,low
2,38.00000000000,ha,edge,low
2,11.00000000000,gy,poor,low
2,1.00000000000,gy,edge,low
3,1868.00000000000,ed,crop,low
3,2151.00000000000,ed,edge,low
3,394.00000000000,ed,poor,low
3,548.00000000000,ed,rich,low
3,2.00000000000,eq,edge,low
3,12.00000000000,eq,poor,low
3,1.00000000000,fi,crop,low
3,6.00000000000,fi,edge,low
3,8.00000000000,fi,poor,low
3,6.00000000000,fi,rich,low
3,64.00000000000,fj,crop,low
3,12.00000000000,fj,poor,low
3,5.00000000000,fq,poor,low
3,5.00000000000,fr,poor,low
3,946.00000000000,ft,edge,low
3,2980.00000000000,ft,poor,low
3,172.00000000000,ft,rich,low
3,946.00000000000,fu,edge,low
3,2980.00000000000,fu,poor,low
3,172.00000000000,fu,rich,low
3,946.00000000000,fw,edge,low
3,22.00000000000,hx,edge,low
3,13.00000000000,hx,poor,low
