"","Date","Time","Channel","BPM","Antenna","Power","Latitude","Longitude","Tower","M_ID"
"434","7/21/2019","14:53:14",89,35.9,2,70,42.920645,-92.6844267,"T3","80"
"435","7/21/2019","14:53:16",89,36,2,69,42.920645,-92.6844267,"T3","80"
"436","7/21/2019","15:17:38",89,35.8,2,61,42.9206467,-92.6844167,"T3","82"
"437","7/21/2019","15:17:40",89,35.7,2,55,42.9206467,-92.6844167,"T3","82"
"438","7/21/2019","15:18:01",89,36.2,2,56,42.9206467,-92.6844167,"T3","82"
"439","7/21/2019","15:18:03",89,36.2,2,57,42.9206467,-92.6844167,"T3","82"
"440","7/21/2019","15:18:25",89,36.5,2,58,42.9206467,-92.6844167,"T3","82"
"441","7/21/2019","15:18:26",89,36.5,2,56,42.9206467,-92.6844167,"T3","82"
"442","7/21/2019","15:18:28",89,36.6,2,56,42.9206467,-92.6844167,"T3","82"
"443","7/21/2019","15:18:49",89,36.8,2,57,42.9206483,-92.6844183,"T3","82"
"444","7/21/2019","15:18:51",89,36.8,2,60,42.9206483,-92.6844183,"T3","82"
"445","7/21/2019","15:18:52",89,36.8,2,58,42.9206483,-92.6844183,"T3","82"
"446","7/21/2019","15:19:14",89,37,2,59,42.9206483,-92.6844183,"T3","82"
"447","7/21/2019","15:19:15",89,36.9,2,59,42.9206483,-92.6844183,"T3","82"
"448","7/21/2019","15:19:36",89,37,2,57,42.9206483,-92.6844183,"T3","82"
"449","7/21/2019","15:19:38",89,37,2,57,42.9206483,-92.6844183,"T3","82"
"450","7/21/2019","15:19:39",89,37,2,56,42.9206483,-92.6844183,"T3","82"
"721","7/21/2019","14:53:09",89,35.7,1,67,42.9187233,-92.68444,"T6","80"
"722","7/21/2019","14:53:11",89,35.7,1,63,42.9187233,-92.68444,"T6","80"
"723","7/21/2019","14:53:12",89,35.9,1,75,42.9187233,-92.68444,"T6","80"
"724","7/21/2019","15:17:48",89,36,1,66,42.91872,-92.684425,"T6","82"
"725","7/21/2019","15:17:50",89,36,1,69,42.91872,-92.684425,"T6","82"
"726","7/21/2019","15:17:51",89,36,1,68,42.91872,-92.684425,"T6","82"
"727","7/21/2019","15:18:13",89,36.4,1,69,42.91872,-92.684425,"T6","82"
"728","7/21/2019","15:18:15",89,36.4,1,69,42.91872,-92.684425,"T6","82"
"729","7/21/2019","15:18:36",89,36.6,1,66,42.91872,-92.6844233,"T6","82"
"730","7/21/2019","15:18:38",89,36.7,1,68,42.91872,-92.6844233,"T6","82"
"731","7/21/2019","15:18:39",89,36.7,1,67,42.91872,-92.6844233,"T6","82"
"732","7/21/2019","15:19:01",89,36.9,1,66,42.91872,-92.6844233,"T6","82"
"733","7/21/2019","15:19:02",89,36.9,1,67,42.91872,-92.6844233,"T6","82"
"734","7/21/2019","15:19:25",89,37,1,67,42.91872,-92.6844233,"T6","82"
"735","7/21/2019","15:19:27",89,37,1,67,42.91872,-92.6844233,"T6","82"
"736","7/21/2019","16:21:43",89,36.5,1,66,42.91874,-92.68442,"T6","82"
"742","7/21/2019","16:59:20",89,38,1,63,42.918725,-92.6844117,"T6","90"
"743","7/21/2019","16:59:22",89,38,1,63,42.918725,-92.6844117,"T6","90"
"744","7/21/2019","16:59:47",89,38.1,1,64,42.918725,-92.6844117,"T6","90"
"745","7/21/2019","17:00:08",89,38.2,1,64,42.918725,-92.6844117,"T6","90"
"746","7/21/2019","17:00:09",89,38.3,1,64,42.918725,-92.6844117,"T6","90"
"747","7/21/2019","17:00:11",89,38.2,1,64,42.918725,-92.6844117,"T6","90"
"748","7/21/2019","17:00:31",89,38.2,1,65,42.9187267,-92.6844117,"T6","90"
"749","7/21/2019","17:00:33",89,38.1,1,64,42.9187267,-92.6844117,"T6","90"
"750","7/21/2019","17:00:34",89,38.3,1,64,42.918725,-92.6844117,"T6","90"
"751","7/21/2019","17:00:56",89,38.4,1,65,42.918725,-92.6844117,"T6","90"
"752","7/21/2019","17:00:58",89,38.3,1,64,42.918725,-92.6844117,"T6","90"
"753","7/21/2019","17:01:43",89,38.5,1,65,42.918725,-92.6844117,"T6","90"
"754","7/21/2019","17:01:45",89,38.3,1,65,42.918725,-92.6844117,"T6","90"
"755","7/21/2019","17:01:46",89,38.5,1,64,42.918725,-92.6844117,"T6","90"
"756","7/21/2019","17:02:10",89,38.4,1,64,42.918725,-92.6844117,"T6","90"
"757","7/21/2019","17:02:32",89,38.4,1,64,42.918725,-92.6844117,"T6","90"
"759","7/21/2019","17:22:38",89,38.6,1,66,42.91873,-92.68441,"T6","90"
