monarchrunid,ctmmlabel,ctmmsuccess,year,monarchid,runid,releasesiteid,monarchcatchsite,monarchcatchdate,monarchmass,trialdate,dayscaptive,trialsite,samecatchtrial,attachment,transmitterid,transantenna,experiment,temp,tempc,cloud,windspeed,windkph,winddirection,starttime,endtime,timeobs,secobserved,numpoints,firstlandon,fly,dudtime,Release,releaseN,releaseE,lastN,lastE,lastlandcover,euclidiandistance,euclidianbearing,maxhitspertower (1 hit every 2 seconds),maxhitstotal,tower1,tower2,tower3,tower4,tower5a,tower5b,tower6,tower7,tower8,tower9,totalhits,,%
19149a,cj,yes,2019,19149,a,NA,GM,7/26/2019,NA,7/28/2019,2,GM,y,transmitter,12,bent,habitatutilization,79.4,26.33333333,mostly cloudy,3.8,6.1142,N,10:11,10:16,0:05:00,300,0,,dud,5,prairie,NA,NA,NA,NA,,NA,NA,150,1500,0,0,0,0,281,134,0,0,1,0,416,,
19049a,ai,no,2019,19049,a,6,GM,7/15/2019,NA,7/16/2019,1,GM,y,transmitter,90,bent,habitatutilization,75.6,24.22222222,mostly clear,3.2,5.1488,NNE,9:18:00,9:29:13,0:11:13,673,3,grass,fly,NA,prairie,4751729.856,525684.7229,525689.361,4751731.293,na,4.85560919,72.78570441,224,2243,0,0,0,0,0,0,0,0,0,0,0,,
19053a,ao,dud,2019,19053,a,NA,GM,7/15/2019,0.2727,7/16/2019,1,GM,y,transmitter,90,bent,habitatutilization,77.7,25.38888889,mostly clear,4,6.436,NNE,9:45,10:00,0:15:00,900,0,,dud,15,prairie,NA,NA,NA,NA,,NA,NA,450,4500,0,0,0,0,0,0,0,0,0,0,0,,
19071a,at,dud,2019,19071,a,NA,GM,7/17/2019,0.2483,7/19/2019,2,GM,y,transmitter,89,bent,habitatutilization,87.5,30.83333333,clear,5.5,8.8495,NE,10:13,10:28,0:15:00,900,0,,dud,15,prairie,NA,NA,NA,NA,,NA,NA,450,4500,0,0,0,0,0,0,0,0,1,0,1,,
19072a,au,dud,2019,19072,a,NA,GM,7/17/2019,0.2119,7/19/2019,2,GM,y,transmitter,89,bent,habitatutilization,92.9,33.83333333,clear,4.4,7.0796,NE,10:35,10:50,0:15:00,900,0,,dud,15,prairie,NA,NA,NA,NA,,NA,NA,450,4500,0,0,0,0,0,0,0,0,0,0,0,,
19080a,ba,dud,2019,19080,a,NA,GM,7/18/2019,0.2453,7/21/2019,3,GM,y,transmitter,89,bent,habitatutilization,73.2,22.88888889,cloudy,5.1,8.2059,SSE,9:53,10:08,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA,450,4500,0,0,2,0,0,0,3,0,0,0,5,,
19087a,be,dud,2019,19087,a,NA,GM,7/20/2019,0.2588,7/21/2019,1,GM,y,transmitter,89,bent,habitatutilization,82.1,27.83333333,cloudy,2.4,3.8616,SSW,,,,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA,450,4500,0,0,0,0,0,0,0,0,0,0,0,,
19091b,bi,dud,2019,19091,b,NA,GM,7/21/2019,0.2993,7/22/2019,1,GM,y,transmitter,89,bent,habitatutilization,79.7,26.5,clear,0.8,1.2872,SW,9:03,9:18,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA,450,4500,0,0,0,0,0,0,0,0,0,0,0,,
19157a,cn,dud,2019,19157,a,NA,GM,7/30/2019,0.3537,8/1/2019,2,GM,y,transmitter,13,straight,habitatutilization,81.4,27.44444444,mostly cloudy,0.4,0.6436,N,9:20,9:35,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA,450,4500,0,0,0,0,353,357,0,0,0,0,710,,
19159a,cp,dud,2019,19159,a,NA,GM,7/31/2019,0.4331,8/1/2019,1,GM,y,transmitter,13,straight,habitatutilization,89.4,31.88888889,mostly clear,0.4,0.6436,N,10:35,10:50,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA,450,4500,0,0,0,0,362,369,0,0,0,0,731,,
19160a,cq,dud,2019,19160,a,NA,GM,7/31/2019,0.261,8/1/2019,1,GM,y,transmitter,13,straight,habitatutilization,94.7,34.83333333,mostly cloudy,1.5,2.4135,N,11:04,11:19,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA,450,4500,0,0,0,0,371,233,0,0,0,0,604,,
19190a,dt,dud,2019,19190,a,NA,GM,8/6/2019,0.3569,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,65.5,18.61111111,clear,3.5,5.6315,SE,8:13,8:28,0:15:00,900,0,,dud,15,corn,NA,NA,NA,NA,,NA,NA,450,4500,0,0,0,0,0,0,0,0,0,0,0,,
19196a,dy,dud,2019,19196,a,NA,GM,8/7/2019,0.4306,8/9/2019,2,GM,y,transmitter,16,straight,habitatutilization,66.6,19.22222222,mostly clear,0,0,SW,8:47,9:02,0:15:00,900,0,,dud,15,edge,NA,NA,NA,NA,,NA,NA,450,4500,0,0,0,0,0,0,93,0,0,0,93,,
19161a,cr,yes,2019,19161,a,8,GM,8/1/2019,NA,8/2/2019,1,GM,y,transmitter,13,straight,habitatutilization,72,22.22222222,mostly clear,2,3.218,N,9:06:00,9:21:20,0:15:20,920,6,bare ground,fly,NA,corn,4751780.584,525545.6888,525560.9526,4751780.955,prairie,15.26830807,88.60765015,460,4600,0,0,0,0,211,120,0,0,0,0,331,,
19098a,bj,yes,2019,19098,a,10,GM,7/21/2019,0.1782,7/22/2019,1,GM,y,transmitter,89,bent,habitatutilization,78.5,25.83333333,mostly clear,8.5,13.6765,S,10:27:00,10:45:45,0:18:45,1125,2,grass,fly,NA,edge,4751916.542,525684.6381,525686.9001,4751901.972,corn,14.74454286,171.1752509,563,5625,0,0,2,0,0,0,76,0,0,0,78,,
19170a,cy,no,2019,19170,a,NA,GM,8/2/2019,0.241,8/4/2019,2,GM,y,transmitter,14,straight,habitatutilization,84,28.88888889,clear,0,0,NW,9:15:00,9:34:00,0:19:00,1140,1,corn,dud,NA,corn,4751771.151,525675.9098,NA,NA,,NA,NA,570,5700,0,0,0,0,5,0,0,0,0,0,5,,
19162a,cs,yes,2019,19162,a,8,GM,8/1/2019,NA,8/2/2019,1,GM,y,transmitter,13,straight,habitatutilization,74.7,23.72222222,clear,4.2,6.7578,N,10:11:00,10:33:00,0:22:00,1320,5,corn,fly,NA,corn,4751779.888,525546.0058,525571.7713,4751792.683,na,28.76756881,63.59126795,660,6600,0,0,0,0,491,307,0,0,0,0,798,,
19070a,as,yes,2019,19070,a,6,GM,7/17/2019,0.2378,7/19/2019,2,GM,y,transmitter,89,bent,habitatutilization,83,28.33333333,clear,4.4,7.0796,NE,0:08:30,0:31:55,0:23:25,1405,4,oxeye sunflower,fly,NA,prairie,4751718.51,525688.4389,525837.7775,4751909.04,prairie,242.0820075,38.08956935,703,7025,0,0,0,0,0,0,8,0,0,0,8,,
19136a,ca,yes,2019,19136,a,9,GM,7/23/2019,0.3555,7/25/2019,2,GM,y,transmitter,11,bent,habitatutilization,74,23.33333333,mostly clear,2,3.218,N,9:27:00,9:56:00,0:29:00,1740,14,corn,fly,NA,corn,4751770.968,525675.7506,525790.8361,4751774.038,na,115.1264401,88.47195052,870,8700,0,0,0,0,0,0,0,0,0,0,0,,0
19193a,dw,yes,2019,19193,a,8,GM,8/6/2019,NA,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,79.1,26.16666667,clear,3.1,4.9879,SE,12:07:00,12:36:19,0:29:19,1759,9,bare ground,fly,NA,corn,4751783.504,525545.509,525467.364,4751779.67,grass,78.23899655,267.1911701,880,8795,0,0,0,0,1,0,0,0,0,0,1,,0
19158a,co,no,2019,19158,a,NA,GM,7/31/2019,0.3631,8/1/2019,1,GM,y,transmitter,13,straight,habitatutilization,84.2,29,mostly cloudy,0.2,0.3218,N,9:51:00,10:21:00,0:30:00,1800,2,bare ground,fly,NA,edge,4751806.784,525539.8245,525539.6064,4751806.263,na,0.564808472,202.7150652,900,9000,0,0,0,0,1049,937,0,0,3,0,1989,,22
19163a,ct,no,2019,19163,a,8,GM,8/1/2019,0.2975,8/2/2019,1,GM,y,transmitter,90,bent,habitatutilization,88,31.11111111,clear,1.5,2.4135,NW,11:52:00,12:22:00,0:30:00,1800,2,bare ground,fly,NA,corn,4751779.401,525545.6905,525545.389,4751778.549,na,0.90377334,199.4875088,900,9000,0,0,0,0,0,0,0,0,0,0,0,,0
19137a,cb,yes,2019,19137,a,9,GM,7/23/2019,NA,7/25/2019,2,GM,y,transmitter,11,bent,habitatutilization,81,27.22222222,mostly clear,6.5,10.4585,NNE,11:12:00,11:44:00,0:32:00,1920,13,corn,fly,NA,corn,4751770.432,525674.7839,525533.6238,4752595.011,na,836.5743847,350.2856725,960,9600,0,0,0,0,0,0,29,0,0,0,29,,0
19054a,ap,no,2019,19054,a,6,GM,7/15/2019,0.4082,7/16/2019,1,GM,y,transmitter,90,bent,habitatutilization,76.2,24.55555556,mostly cloudy,2.6,4.1834,N,10:23:00,10:56:00,0:33:00,1980,3,grass,fly,NA,prairie,4751721.329,525679.2939,525677.696,4751719.106,na,2.737702214,215.7087095,990,9900,0,0,0,0,5,0,1,0,5,10,21,,0
19090a,bg,no,2019,19090,a,10,GM,7/20/2019,0.1505,7/21/2019,1,GM,y,transmitter,89,bent,habitatutilization,80.6,27,cloudy,3.1,4.9879,SSW,11:54:00,12:27:24,0:33:24,2004,2,grass,fly,NA,edge,4751934.293,525682.6181,525683.044,4751933.866,prairie,0.603091875,135.0738953,1002,10020,0,0,0,0,0,0,17,0,0,0,17,,0
19167a,cw,no,2019,19167,a,5,GM,8/1/2019,0.2926,8/3/2019,2,GM,y,transmitter,14,straight,habitatutilization,82.2,27.88888889,clear,2.4,3.8616,W,13:07:00,13:41,0:34:44,2084,2,grass,fly,NA,grass,4751933.66,525785.0592,525785.0421,4751935.59,na,1.930075752,359.4923667,1042,10420,0,0,166,0,0,0,227,0,0,0,393,,4
19051a,al,no,2019,19051,a,6,GM,7/15/2019,0.3269,7/16/2019,1,GM,y,transmitter,90,bent,habitatutilization,84.2,29,mostly clear,5.3,8.5277,NNE,11:10:00,11:45:00,0:35:00,2100,4,grass,fly,NA,prairie,4751721.502,525679.8483,525704.1479,4751827.367,prairie,108.6179948,12.92739486,700,7000,0,0,3,0,3,0,377,0,0,0,383,,5
19091a,bh,no,2019,19091,a,10,GM,7/21/2019,0.2993,7/22/2019,1,GM,y,transmitter,89,bent,habitatutilization,80.6,27,clear,4.8,7.7232,SSW,9:36:00,10:12:48,0:36:48,2208,2,corn,fly,NA,edge,4751941.967,525682.6757,525682.0732,4751944.24,prairie,2.351496385,345.1541223,1104,11040,0,0,0,0,0,0,0,0,0,0,0,,0
19105a,bl,yes,2019,19105,a,10,GM,7/21/2019,NA,7/22/2019,1,GM,y,transmitter,88,bent,habitatutilization,77.3,25.16666667,mostly cloudy,2.8,4.5052,SSW,12:07:00,12:44:00,0:37:00,2220,7,grass,fly,NA,edge,4751916.403,525684.6871,525670.32,4751433.829,prairie,482.7878199,181.7052952,1110,11100,0,0,0,0,0,0,0,0,0,0,0,,0
19171a,cz,yes,2019,19171,a,9,GM,8/2/2019,0.2479,8/4/2019,2,GM,y,transmitter,14,straight,habitatutilization,76.5,24.72222222,clear,0.2,0.3218,NW,9:45:00,10:32:25,0:47:25,2845,10,bare ground,fly,NA,corn,4751771.747,525675.87,525643.6805,4751774.685,roadside,32.32330049,275.2150509,1423,14225,0,0,94,0,499,2,0,645,357,131,1728,,12
19165a,cv,yes,2019,19165,a,5,GM,8/1/2019,0.2691,8/3/2019,2,GM,y,transmitter,14,straight,habitatutilization,88.6,31.44444444,clear,2,3.218,SW,11:16:00,12:06,0:50:00,3000,30,grass,fly,NA,grass,4751932.043,525784.6842,525871.7784,4751876.089,prairie,103.5193209,122.7188713,1500,15000,0,0,246,0,0,0,108,0,0,0,354,,2
