"","X","Date","Time","Channel","BPM","Antenna","Power","Tower","L_ID","L_Lat","L_Long","L_N","L_E","T_Lat","T_Long","T_N","T_E","CalcAzimuth","EstAzimuth"
"5",5,"7/8/2019","15:45:52",87,36.9,3,67,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,100
"6",6,"7/8/2019","15:45:56",87,36.8,4,59,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,36
"7",7,"7/8/2019","15:45:57",87,36.8,4,58,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,36
"8",8,"7/8/2019","15:46:13",87,36.8,3,59,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,100
"9",9,"7/8/2019","15:46:18",87,36.9,4,58,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,36
"10",10,"7/8/2019","15:46:36",87,36.8,3,67,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,100
"11",11,"7/8/2019","15:46:38",87,36.8,3,63,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,100
"12",12,"7/8/2019","15:46:39",87,36.8,3,64,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,100
"13",13,"7/8/2019","15:46:43",87,37,4,60,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,36
"14",14,"7/8/2019","15:46:44",87,36.8,4,56,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,36
"15",15,"7/8/2019","15:47:01",87,36.9,3,63,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,100
"16",16,"7/8/2019","15:47:02",87,36.9,3,62,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,100
"17",17,"7/8/2019","15:47:04",87,36.8,3,59,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,100
"18",18,"7/8/2019","15:47:07",87,37,4,59,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,36
"19",19,"7/8/2019","15:47:09",87,36.9,4,59,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,36
"21",21,"7/8/2019","15:47:30",87,36.9,4,58,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,36
"22",22,"7/8/2019","15:47:32",87,36.9,4,60,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,36
"23",23,"7/8/2019","15:47:33",87,36.9,4,58,"T1","C1",42.92071674,-92.68719793,4752058.042,525528.747,42.92060542,-92.69025374,4752044.757,525279.398,87.1510634335878,36
"149",149,"7/8/2019","15:57:30",87,37.3,4,72,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,36
"150",150,"7/8/2019","15:57:32",87,37.3,4,72,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,36
"151",151,"7/8/2019","15:57:33",87,37.3,4,70,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,36
"152",152,"7/8/2019","15:57:36",87,37.3,1,63,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,210
"153",153,"7/8/2019","15:57:38",87,37.3,1,63,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,210
"154",154,"7/8/2019","15:57:40",87,37.3,1,63,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,210
"155",155,"7/8/2019","15:57:43",87,37.3,2,62,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,155
"156",156,"7/8/2019","15:57:44",87,37.3,2,61,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,155
"157",157,"7/8/2019","15:57:46",87,37.3,2,62,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,155
"158",158,"7/8/2019","15:57:49",87,37.3,3,70,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,100
"159",159,"7/8/2019","15:57:51",87,37.3,3,71,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,100
"160",160,"7/8/2019","15:57:54",87,37.3,4,71,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,36
"161",161,"7/8/2019","15:57:56",87,37.3,4,72,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,36
"162",162,"7/8/2019","15:57:57",87,37.3,4,72,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,36
"163",163,"7/8/2019","15:58:01",87,37.2,1,62,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,210
"164",164,"7/8/2019","15:58:02",87,37.3,1,63,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,210
"165",165,"7/8/2019","15:58:04",87,37.2,1,62,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,210
"166",166,"7/8/2019","15:58:07",87,37.3,2,63,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,155
"167",167,"7/8/2019","15:58:09",87,37.2,2,63,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,155
"168",168,"7/8/2019","15:58:12",87,37.2,3,71,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,100
"169",169,"7/8/2019","15:58:13",87,37.2,3,71,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,100
"170",170,"7/8/2019","15:58:15",87,37.2,3,70,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,100
"171",171,"7/8/2019","15:58:18",87,37.2,4,72,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,36
"172",172,"7/8/2019","15:58:20",87,37.2,4,72,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,36
"173",173,"7/8/2019","15:58:22",87,37.2,4,72,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,36
"174",174,"7/8/2019","15:58:25",87,37.2,1,62,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,210
"175",175,"7/8/2019","15:58:26",87,37.2,1,63,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,210
"176",176,"7/8/2019","15:58:28",87,37.2,1,63,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,210
"177",177,"7/8/2019","15:58:31",87,37.2,2,63,"T1","C2",42.91969544,-92.68799101,4751944.389,525464.442,42.92060542,-92.69025374,4752044.757,525279.398,118.773567907106,155
