"","Tower","T_N","T_E","T_Lat","T_Long","Antenna","EstAzimuth","CalcAzimuth","Date","L_ID","L_Lat","L_Long","L_N","L_E","Power"
"1","T2",4752058.259,525528.872,42.92071869,-92.68719639,2,169,225.733739499493,"7/8/2019","D1",42.91858372,-92.69018732,4751820.274,525285.646,58
"2","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,231.054819378981,"7/8/2019","D1",42.91858372,-92.69018732,4751820.274,525285.646,143.5
"3","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,231.054819378981,"7/8/2019","D1",42.91858372,-92.69018732,4751820.274,525285.646,151
"4","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,231.054819378981,"7/8/2019","D1",42.91858372,-92.69018732,4751820.274,525285.646,147
"5","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,231.054819378981,"7/8/2019","D1",42.91858372,-92.69018732,4751820.274,525285.646,158.5
"6","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,0.490850792766446,"7/8/2019","C10",42.91865744,-92.69005727,4751828.499,525296.23,67
"7","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,52.3342521337251,"7/8/2019","C10",42.91865744,-92.69005727,4751828.499,525296.23,121.5
"8","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,52.3342521337251,"7/8/2019","C10",42.91865744,-92.69005727,4751828.499,525296.23,88
"9","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,52.3342521337251,"7/8/2019","C10",42.91865744,-92.69005727,4751828.499,525296.23,127
"10","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,52.3342521337251,"7/8/2019","C10",42.91865744,-92.69005727,4751828.499,525296.23,112
"11","T2",4752058.259,525528.872,42.92071869,-92.68719639,2,169,225.466879317185,"7/8/2019","C10",42.91865744,-92.69005727,4751828.499,525296.23,62
"12","T5",4751833.976,525536.961,42.91869874,-92.6871075,2,97,268.905711709425,"7/8/2019","C10",42.91865744,-92.69005727,4751828.499,525296.23,72
"13","T5",4751833.976,525536.961,42.91869874,-92.6871075,8,115,268.905711709425,"7/8/2019","C10",42.91865744,-92.69005727,4751828.499,525296.23,67.5
"14","T5",4751833.976,525536.961,42.91869874,-92.6871075,5,289,268.905711709425,"7/8/2019","C10",42.91865744,-92.69005727,4751828.499,525296.23,64
