L_ID,Date,StartTime,EndTime,L_N,L_E,L_Long,L_Lat
T3-01,7/5/2019,16:35:10,16:37:10,4752054.343,525779.94,-92.68412029,42.92067498
T3-02,7/5/2019,16:31:30,16:33:30,4752046.627,525779.664,-92.68412403,42.92060551
T3-03,7/5/2019,16:28:35,16:30:35,4752038.575,525777.23,-92.68415422,42.92053308
T3-04,7/5/2019,16:37:55,16:39:55,4752032.911,525773.117,-92.68420488,42.92048222
T3-05,7/5/2019,16:40:25,16:42:25,4752027.847,525767.211,-92.68427748,42.92043681
T3-06,7/5/2019,16:43:40,16:45:40,4752025.906,525761.159,-92.68435172,42.92041954
T3-07,7/5/2019,16:46:30,16:48:30,4752025.198,525752.747,-92.68445482,42.92041345
T3-08,7/5/2019,16:49:15,16:51:15,4752027.476,525744.948,-92.68455028,42.92043423
T3-09,7/5/2019,16:52:40,16:54:40,4752032.62,525737.709,-92.68463874,42.92048079
T3-10,7/5/2019,16:55:00,16:57:00,4752040.089,525733.269,-92.6846928,42.9205482
T3-11,7/5/2019,16:57:45,16:59:45,4752047.964,525731.205,-92.68471772,42.92061919
T3-12,7/5/2019,17:00:30,17:02:30,4752056.37,525731.649,-92.6847119,42.92069487
T3-13,7/5/2019,17:03:00,17:05:00,4752064.071,525735.15,-92.68466865,42.9207641
T3-14,7/5/2019,17:05:30,17:07:30,4752069.113,525741.716,-92.68458797,42.92080928
T3-15,7/5/2019,17:08:15,17:10:15,4752072.468,525749.394,-92.68449373,42.92083923
T9-01,7/5/2019,18:14:55,18:16:55,4751569.173,525751.314,-92.68449333,42.91630695
T9-02,7/5/2019,18:17:30,18:19:30,4751572.298,525745.657,-92.6845625,42.91633529
T9-03,7/5/2019,18:19:50,18:21:50,4751578.131,525740.962,-92.68461975,42.91638797
T9-04,7/5/2019,18:22:15,18:24:15,4751587.129,525738.3,-92.68465195,42.91646909
T9-05,7/5/2019,18:24:40,18:26:40,4751595.725,525738.687,-92.68464682,42.91654648
T9-06,7/5/2019,18:27:00,18:29:00,4751603.541,525741.548,-92.68461141,42.91661677
T9-07,7/5/2019,18:29:30,18:31:30,4751609.576,525746.574,-92.68454955,42.91667095
T9-08,7/5/2019,18:31:55,18:33:55,4751613.895,525754.498,-92.68445227,42.91670957
T9-09,7/5/2019,18:34:20,18:36:20,4751615.35,525763.18,-92.68434583,42.91672238
T9-10,7/5/2019,18:36:35,18:38:35,4751613.834,525771.637,-92.68424228,42.91670844
T9-11,7/5/2019,18:39:05,18:41:05,4751609.154,525779.666,-92.68414413,42.91666603
T9-12,7/5/2019,18:41:25,18:43:25,4751601.431,525784.657,-92.68408333,42.91659631
T9-13,7/5/2019,18:44:00,18:46:00,4751592.51,525787.796,-92.68404529,42.91651587
T9-14,7/5/2019,18:46:35,18:48:35,4751584.511,525786.326,-92.68406366,42.91644389
T1-01,7/6/2019,13:12:22,13:14:22,4752050.942,525300.549,-92.68999431,42.92066041
T1-02,7/6/2019,13:15:10,13:17:10,4752043.361,525301.04,-92.68998863,42.92059213
T1-03,7/6/2019,13:17:30,13:19:30,4752036.212,525298.82,-92.69001616,42.92052783
T1-04,7/6/2019,13:19:40,13:21:40,4752029.953,525294.556,-92.69006868,42.9204716
T1-05,7/6/2019,13:22:00,13:24:00,4752025.602,525288.03,-92.69014884,42.92043264
T1-06,7/6/2019,13:24:20,13:26:20,4752022.962,525279.991,-92.69024746,42.92040913
T1-07,7/6/2019,13:26:40,13:28:40,4752023.169,525271.794,-92.69034789,42.92041127
T1-08,7/6/2019,13:29:05,13:31:05,4752026.117,525264.255,-92.69044013,42.92043807
T1-09,7/6/2019,13:31:25,13:33:25,4752031.643,525257.639,-92.69052094,42.92048805
T1-10,7/6/2019,13:33:40,13:35:40,4752038.628,525253.583,-92.69057032,42.92055108
T1-11,7/6/2019,13:36:50,13:38:50,4752046.981,525251.891,-92.69059068,42.92062636
T1-12,7/6/2019,13:39:05,13:41:05,4752051.089,525252.328,-92.69058514,42.92066334
T7-01,7/6/2019,14:51:00,14:53:00,4751603.824,525277.472,-92.69029723,42.91663484
T7-02,7/6/2019,14:53:30,14:55:30,4751610.144,525286.294,-92.69018886,42.91669146
T7-03,7/6/2019,14:56:00,14:58:00,4751611.402,525297.179,-92.69005544,42.91670243
T7-04,7/6/2019,14:58:25,15:00:25,4751609.127,525307.051,-92.68993459,42.91668161
T7-05,7/6/2019,15:00:45,15:02:45,4751600.865,525315.211,-92.68983499,42.91660694
T7-06,7/6/2019,15:03:05,15:05:05,4751590.084,525319.596,-92.68978175,42.91650971
T7-07,7/6/2019,15:06:00,15:08:00,4751580.628,525319.13,-92.68978788,42.91642458
T7-08,7/6/2019,15:08:55,15:10:55,4751573.335,525315.832,-92.68982862,42.91635901
T7-09,7/6/2019,15:12:20,15:14:20,4751567.724,525310.2,-92.68989788,42.91630867
T7-10,7/6/2019,15:15:55,15:17:55,4751562.992,525300.816,-92.69001306,42.91626637
T7-11,7/6/2019,15:19:00,15:21:00,4751563.396,525291.357,-92.69012893,42.91627032
T8-01,7/6/2019,16:12:40,16:14:40,4751583.39,525555.528,-92.68689143,42.91644156
