"","Tower","T_N","T_E","T_Lat","T_Long","Antenna","EstAzimuth","CalcAzimuth","Date","L_ID","L_Lat","L_Long","L_N","L_E","Power"
"1","T1",4752044.757,525279.398,42.92060542,-92.69025374,4,36,274.850983605212,"7/6/2019","T1-11",42.92062636,-92.69059068,4752046.981,525251.891,88.5
"2","T1",4752044.757,525279.398,42.92060542,-92.69025374,3,100,274.850983605212,"7/6/2019","T1-11",42.92062636,-92.69059068,4752046.981,525251.891,102
"3","T1",4752044.757,525279.398,42.92060542,-92.69025374,2,155,274.850983605212,"7/6/2019","T1-11",42.92062636,-92.69059068,4752046.981,525251.891,115.5
"4","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,274.850983605212,"7/6/2019","T1-11",42.92062636,-92.69059068,4752046.981,525251.891,123
"5","T1",4752044.757,525279.398,42.92060542,-92.69025374,4,36,283.423489674519,"7/6/2019","T1-12",42.92066334,-92.69058514,4752051.089,525252.328,93
"6","T1",4752044.757,525279.398,42.92060542,-92.69025374,3,100,283.423489674519,"7/6/2019","T1-12",42.92066334,-92.69058514,4752051.089,525252.328,97
"7","T1",4752044.757,525279.398,42.92060542,-92.69025374,2,155,283.423489674519,"7/6/2019","T1-12",42.92066334,-92.69058514,4752051.089,525252.328,110
"8","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,283.423489674519,"7/6/2019","T1-12",42.92066334,-92.69058514,4752051.089,525252.328,107
"9","T1",4752044.757,525279.398,42.92060542,-92.69025374,4,36,256.808418122513,"7/6/2019","T1-10",42.92055108,-92.69057032,4752038.628,525253.583,94.5
"10","T1",4752044.757,525279.398,42.92060542,-92.69025374,3,100,256.808418122513,"7/6/2019","T1-10",42.92055108,-92.69057032,4752038.628,525253.583,113
"11","T1",4752044.757,525279.398,42.92060542,-92.69025374,2,155,256.808418122513,"7/6/2019","T1-10",42.92055108,-92.69057032,4752038.628,525253.583,116
"12","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,256.808418122513,"7/6/2019","T1-10",42.92055108,-92.69057032,4752038.628,525253.583,129
"13","T1",4752044.757,525279.398,42.92060542,-92.69025374,4,36,239.043253622029,"7/6/2019","T1-09",42.92048805,-92.69052094,4752031.643,525257.639,97
"14","T1",4752044.757,525279.398,42.92060542,-92.69025374,3,100,239.043253622029,"7/6/2019","T1-09",42.92048805,-92.69052094,4752031.643,525257.639,116.5
"15","T1",4752044.757,525279.398,42.92060542,-92.69025374,2,155,239.043253622029,"7/6/2019","T1-09",42.92048805,-92.69052094,4752031.643,525257.639,116
"16","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,239.043253622029,"7/6/2019","T1-09",42.92048805,-92.69052094,4752031.643,525257.639,131
"17","T1",4752044.757,525279.398,42.92060542,-92.69025374,4,36,219.201274037608,"7/6/2019","T1-08",42.92043807,-92.69044013,4752026.117,525264.255,90
"18","T1",4752044.757,525279.398,42.92060542,-92.69025374,3,100,219.201274037608,"7/6/2019","T1-08",42.92043807,-92.69044013,4752026.117,525264.255,121
"19","T1",4752044.757,525279.398,42.92060542,-92.69025374,2,155,219.201274037608,"7/6/2019","T1-08",42.92043807,-92.69044013,4752026.117,525264.255,116
"20","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,219.201274037608,"7/6/2019","T1-08",42.92043807,-92.69044013,4752026.117,525264.255,129
"21","T1",4752044.757,525279.398,42.92060542,-92.69025374,4,36,199.550848479909,"7/6/2019","T1-07",42.92041127,-92.69034789,4752023.169,525271.794,76
"22","T1",4752044.757,525279.398,42.92060542,-92.69025374,3,100,199.550848479909,"7/6/2019","T1-07",42.92041127,-92.69034789,4752023.169,525271.794,114
"23","T1",4752044.757,525279.398,42.92060542,-92.69025374,2,155,199.550848479909,"7/6/2019","T1-07",42.92041127,-92.69034789,4752023.169,525271.794,112
"24","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,199.550848479909,"7/6/2019","T1-07",42.92041127,-92.69034789,4752023.169,525271.794,127
"25","T1",4752044.757,525279.398,42.92060542,-92.69025374,1,210,181.031375790399,"7/6/2019","T4-01",42.91839293,-92.69030813,4751799.051,525275.864,54
"26","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,205.714506291977,"7/6/2019","T4-01",42.91839293,-92.69030813,4751799.051,525275.864,116
"27","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,205.714506291977,"7/6/2019","T4-01",42.91839293,-92.69030813,4751799.051,525275.864,114
"28","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,205.714506291977,"7/6/2019","T4-01",42.91839293,-92.69030813,4751799.051,525275.864,122
"29","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,205.714506291977,"7/6/2019","T4-01",42.91839293,-92.69030813,4751799.051,525275.864,139
"30","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,355.050792138506,"7/6/2019","T4-01",42.91839293,-92.69030813,4751799.051,525275.864,83
"31","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,355.050792138506,"7/6/2019","T4-01",42.91839293,-92.69030813,4751799.051,525275.864,75
"32","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,355.050792138506,"7/6/2019","T4-01",42.91839293,-92.69030813,4751799.051,525275.864,65.5
