"","X","Date","Time","Channel","BPM","Antenna","Power","Tower","L_ID","L_Lat","L_Long","L_N","L_E","T_Lat","T_Long","T_N","T_E","CalcAzimuth","EstAzimuth"
"130",130,"7/6/2019","13:12:23",87,35.1,1,99,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,210
"131",131,"7/6/2019","13:12:24",87,35,1,102,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,210
"132",132,"7/6/2019","13:12:28",87,35.1,2,98,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,155
"133",133,"7/6/2019","13:12:29",87,35.1,2,97,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,155
"134",134,"7/6/2019","13:12:35",87,35.1,3,108,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,100
"135",135,"7/6/2019","13:12:36",87,35.1,3,110,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,100
"136",136,"7/6/2019","13:12:40",87,35.1,4,115,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,36
"137",137,"7/6/2019","13:12:41",87,35.1,4,115,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,36
"138",138,"7/6/2019","13:12:46",87,35.1,1,110,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,210
"139",139,"7/6/2019","13:12:48",87,35.1,1,109,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,210
"140",140,"7/6/2019","13:12:52",87,35.1,2,103,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,155
"141",141,"7/6/2019","13:12:53",87,35.1,2,102,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,155
"142",142,"7/6/2019","13:12:55",87,35.1,2,101,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,155
"143",143,"7/6/2019","13:12:58",87,35.1,3,113,"T1","T1-01",42.92066041,-92.68999431,4752050.942,525300.549,42.92060542,-92.69025374,4752044.757,525279.398,73.8567442610312,100
