Date,Site,Tower,T_Northing,T_Easting,Antenna,EstAntAz,T_Long,T_Lat
2019,GM,T1,4752044.757,525279.398,1,191,-92.69025374,42.92060542
2019,GM,T1,4752044.757,525279.398,2,131,-92.69025374,42.92060542
2019,GM,T1,4752044.757,525279.398,3,78,-92.69025374,42.92060542
2019,GM,T1,4752044.757,525279.398,4,13,-92.69025374,42.92060542
2019,GM,T2,4751820.777,525286.266,1,103,-92.6901797,42.91858823
2019,GM,T2,4751820.777,525286.266,2,154,-92.6901797,42.91858823
2019,GM,T2,4751820.777,525286.266,3,214,-92.6901797,42.91858823
2019,GM,T2,4751820.777,525286.266,4,274,-92.6901797,42.91858823
2019,GM,T3,4751587.388,525295.045,1,330,-92.69008267,42.91648625
2019,GM,T3,4751587.388,525295.045,2,275,-92.69008267,42.91648625
2019,GM,T3,4751587.388,525295.045,3,216,-92.69008267,42.91648625
2019,GM,T3,4751587.388,525295.045,4,150,-92.69008267,42.91648625
2019,GM,T4,4751595.309,525539.333,1,172,-92.68708931,42.91654944
2019,GM,T4,4751595.309,525539.333,2,114,-92.68708931,42.91654944
2019,GM,T4,4751595.309,525539.333,3,48,-92.68708931,42.91654944
2019,GM,T4,4751595.309,525539.333,4,348,-92.68708931,42.91654944
2019,GM,T5a,4751833.976,525536.961,1,176,-92.6871075,42.91869874
2019,GM,T5a,4751833.976,525536.961,2,117,-92.6871075,42.91869874
2019,GM,T5a,4751833.976,525536.961,3,54,-92.6871075,42.91869874
2019,GM,T5b,4751833.976,525536.961,1,359,-92.6871075,42.91869874
2019,GM,T5b,4751833.976,525536.961,2,244,-92.6871075,42.91869874
2019,GM,T5b,4751833.976,525536.961,3,302,-92.6871075,42.91869874
2019,GM,T6,4752058.259,525528.872,1,12,-92.68719639,42.92071869
2019,GM,T6,4752058.259,525528.872,2,310,-92.68719639,42.92071869
2019,GM,T6,4752058.259,525528.872,3,253,-92.68719639,42.92071869
2019,GM,T6,4752058.259,525528.872,4,196,-92.68719639,42.92071869
2019,GM,T7,4751590.716,525762.766,1,135,-92.68435203,42.91650056
2019,GM,T7,4751590.716,525762.766,2,84,-92.68435203,42.91650056
2019,GM,T7,4751590.716,525762.766,3,26,-92.68435203,42.91650056
2019,GM,T7,4751590.716,525762.766,4,321,-92.68435203,42.91650056
2019,GM,T8,4751834.521,525755.689,1,99,-92.68442754,42.91869629
2019,GM,T8,4751834.521,525755.689,2,36,-92.68442754,42.91869629
2019,GM,T8,4751834.521,525755.689,3,334,-92.68442754,42.91869629
2019,GM,T8,4751834.521,525755.689,4,284,-92.68442754,42.91869629
2019,GM,T9,4752050.3,525755.365,1,45,-92.68442159,42.92063941
2019,GM,T9,4752050.3,525755.365,2,340,-92.68442159,42.92063941
2019,GM,T9,4752050.3,525755.365,3,286,-92.68442159,42.92063941
2019,GM,T9,4752050.3,525755.365,4,227,-92.68442159,42.92063941
