M_ID,Date,PointID,Northing,Easting,ApproximateTime
51,7/16/2019,51-4,4751827.367,525704.1479,16:10:00
51,7/16/2019,51-3,4751797.719,525706.2722,16:11:00
51,7/16/2019,51-1,4751721.502,525679.8483,16:16:33
51,7/16/2019,51-2,4751723.184,525680.6442,16:37:10
138,7/27/2019,138-1,4751678.821,525542.326,13:44:45
138,7/27/2019,138-2,4751680.493,525545.0312,13:44:00
138,7/27/2019,138-3,4751677.684,525547.9043,13:43:30
138,7/27/2019,138-4,4751677.469,525550.1181,13:42:45
138,7/27/2019,138-5,4751676.862,525552.1805,13:42:00
138,7/27/2019,138-6,4751677.318,525557.1486,13:41:20
138,7/27/2019,138-7,4751683.045,525559.3556,13:39:58
138,7/27/2019,138-8,4751688.822,525556.113,13:36:39
138,7/27/2019,138-9,4751696.559,525560.8493,13:35:56
138,7/27/2019,138-10,4751698.753,525562.3087,13:35:34
138,7/27/2019,138-11,4751700.942,525561.6533,13:33:00
149,7/28/2019,149-1,4751834.397,525466.1224,17:06:00
149,7/28/2019,149-2,4751808.143,525504.1339,17:05:17
149,7/28/2019,149-3,4751809.337,525503.4012,17:01:58
149,7/28/2019,149-4,4751807.867,525504.5101,16:49:30
149,7/28/2019,149-5,4751791.504,525517.1878,16:49:00
158,8/1/2019,158,4751806.285,525539.2867,14:51:00
159,8/1/2019,159,4751806.285,525539.2867,15:35:00
160,8/1/2019,160,4751806.285,525539.2867,16:04:00
157,8/1/2019,157,4751806.285,525539.2867,14:20:00
161,8/2/2019,161-1,4751780.955,525560.9526,14:19:59
161,8/2/2019,161-2,4751783.68,525560.5361,14:16:49
161,8/2/2019,161-3,4751781.904,525558.0841,14:16:26
161,8/2/2019,161-4,4751781.303,525553.0963,14:15:41
161,8/2/2019,161-5,4751779.628,525547.3743,14:14:19
161,8/2/2019,161-6,4751780.584,525545.6888,14:06:00
162,8/2/2019,162-1,4751792.683,525571.7713,15:24:42
162,8/2/2019,162-2,4751781.437,525556.0218,15:17:30
162,8/2/2019,162-3,4751778.817,525547.5256,15:16:00
162,8/2/2019,162-4,4751778.341,525545.1342,15:15:37
162,8/2/2019,162-5,4751779.888,525546.0058,15:11:00
168,8/3/2019,168-1,4752157.854,525566.6679,19:31:00
168,8/3/2019,168-2,4752132.969,525529.8211,19:24:00
168,8/3/2019,168-3,4752112.088,525524.0691,19:23:00
168,8/3/2019,168-4,4752102.339,525516.6234,19:21:00
168,8/3/2019,168-5,4751941.909,525681.873,19:10:15
168,8/3/2019,168-6,4751934.583,525781.3923,19:03:30
168,8/3/2019,168-7,4751932.853,525784.9552,19:03:00
168,8/3/2019,168-8,4751932.361,525787.2418,19:01:30
168,8/3/2019,168-9,4751933.496,525786.4381,19:01:15
168,8/3/2019,168-10,4751934.042,525784.6056,19:01:00
171,8/4/2019,171-1,4751774.685,525643.6805,15:32:25
171,8/4/2019,171-2,4751778.553,525642.4397,15:31:00
171,8/4/2019,171-3,4751779.22,525633.4767,15:17:42
171,8/4/2019,171-4,4751778.759,525677.3576,15:16:00
171,8/4/2019,171-5,4751779.774,525676.2092,15:00:00
171,8/4/2019,171-6,4751777.335,525677.5508,14:58:40
171,8/4/2019,171-7,4751776.608,525676.2421,14:50:40
171,8/4/2019,171-8,4751769.255,525676.0365,14:49:45
171,8/4/2019,171-9,4751771.288,525675.4968,14:45:30
171,8/4/2019,171-10,4751771.747,525675.87,14:45:00
172,8/4/2019,172-1,4751769.059,525690.5899,16:32:00
172,8/4/2019,172-2,4751771.522,525689.8642,16:17:00
172,8/4/2019,172-3,4751768.324,525689.6197,16:16:30
172,8/4/2019,172-4,4751768.766,525689.5184,16:08:00
173,8/4/2019,173-1,4751905.737,525741.8938,18:05:00
173,8/4/2019,173-2,4751905.086,525743.0357,18:03:57
173,8/4/2019,173-3,4751904.577,525741.9716,18:02:28
173,8/4/2019,173-4,4751893.601,525737.4961,18:02:20
173,8/4/2019,173-5,4751848.368,525739.931,18:01:45
173,8/4/2019,173-6,4751849.282,525741.2727,18:01:00
173,8/4/2019,173-7,4751851.937,525743.6485,17:57:30
173,8/4/2019,173-8,4751848.86,525749.5957,17:56:15
173,8/4/2019,173-9,4751843.308,525748.2578,17:46:28
173,8/4/2019,173-10,4751845.038,525750.9658,17:44:59
173,8/4/2019,173-11,4751815.342,525761.4532,17:27:40
173,8/4/2019,173-12,4751771.297,525718.1728,17:27:20
173,8/4/2019,173-13,4751769.892,525705.6937,17:27:00
173,8/4/2019,173-14,4751770.706,525704.8562,17:26:32
173,8/4/2019,173-15,4751768.099,525690.9853,17:25:00
173,8/4/2019,173-16,4751768.519,525690.6806,17:12:00
173,8/4/2019,173-17,4751768.175,525689.9869,17:11:40
173,8/4/2019,173-18,4751768.535,525690.0647,17:10:00
198,8/9/2019,198-1,4750080.264,526030.43,16:41:00
198,8/9/2019,198-2,4750138.857,526005.582,16:11:00
198,8/9/2019,198-3,4750558.633,525716.726,16:02:05
198,8/9/2019,198-4,4751285.92,525606.479,16:00:46
198,8/9/2019,198-5,4751424.94,525659.396,15:56:38
198,8/9/2019,198-6,4751983.271,525778.321,15:43:40
198,8/9/2019,198-7,4751938.135,525689.249,15:42:37
198,8/9/2019,198-8,4751909.222,525683.888,15:11:00
