monarchid,fly,release,Freq
19041a,fly,prairie,1
19049b,fly,prairie,1
19051b,fly,prairie,1
19073a,fly,prairie,1
19079a,fly,edge,1
19082a,fly,edge,1
19091a,fly,edge,1
19119a,fly,edge,1
19125a,fly,edge,1
19130a,fly,corn,1
19138a,fly,grass,1
19139a,fly,grass,1
19143a,fly,prairie,1
19149b,fly,prairie,1
19153a,fly,prairie,1
19158a,fly,edge,1
19161a,fly,corn,1
19162a,fly,corn,1
19164a,fly,grass,1
19174a,fly,grass,1
19176a,fly,grass,1
19179a,fly,grass,1
19181a,fly,grass,1
19182a,fly,grass,1
19183a,fly,grass,1
19184a,fly,grass,1
19186a,fly,grass,1
19189a,fly,grass,1
19191a,fly,corn,1
19193a,fly,corn,1
19197a,fly,edge,1
19198a,fly,edge,1
20011a,fly,west,1
20012a,fly,east,1
20016a,fly,east,1
20022a,fly,east,1
20030a,fly,west,1
20044a,fly,east,1
20047a,fly,west,1
20061a,fly,east,1
20070a,fly,east,1
20077a,fly,east,1
20087a,fly,east,1
20091a,fly,east,1
20094a,fly,east,1
19026a,fly,corn,2
19034a,fly,corn,2
19055a,fly,corn,2
19106a,fly,edge,2
19108a,fly,edge,2
19131a,fly,corn,2
19132a,fly,corn,2
19134a,fly,corn,2
19136a,fly,corn,2
19137a,fly,corn,2
19140a,fly,prairie,2
19142a,fly,prairie,2
19151a,fly,prairie,2
19165a,fly,grass,2
19168a,fly,grass,2
19173a,fly,edge,2
19187a,fly,grass,2
19192a,fly,corn,2
19194a,fly,corn,2
19200a,fly,edge,2
20010a,fly,west,2
20037a,fly,east,2
20049a,fly,east,2
20051a,fly,west,2
20056a,fly,west,2
20057a,fly,west,2
20064a,fly,east,2
20078a,fly,east,2
20089a,fly,east,2
20092a,fly,east,2
20097b,fly,west,2
19085a,fly,edge,3
19105a,fly,edge,3
20046a,fly,west,3
20055a,fly,west,3
20081a,fly,west,3
19069a,fly,corn,5
20009a,fly,west,5
20052a,fly,west,5
20053a,fly,west,5
20082a,fly,west,5
20054a,fly,west,6
20095a,fly,west,6
19049a,fly,prairie,0
19050a,fly,prairie,0
19051a,fly,prairie,0
19054a,fly,prairie,0
19070a,fly,prairie,0
19074a,fly,prairie,0
19078a,fly,prairie,0
19090a,fly,edge,0
19098a,fly,edge,0
19123a,fly,edge,0
19127a,fly,edge,0
19147a,fly,prairie,0
19163a,fly,corn,0
19167a,fly,grass,0
19171a,fly,corn,0
19172a,fly,edge,0
19175a,fly,grass,0
19180a,fly,grass,0
19185a,fly,grass,0
19188a,fly,grass,0
20014a,fly,east,0
20028a,fly,west,0
20029a,fly,west,0
20031a,fly,west,0
20034a,fly,east,0
20035a,fly,east,0
20036a,fly,east,0
20038a,fly,west,0
20038b,fly,east,0
20039a,fly,west,0
20039b,fly,east,0
20040a,fly,west,0
20041a,fly,west,0
20042a,fly,east,0
20043a,fly,east,0
20045a,fly,east,0
20048a,fly,east,0
20048b,fly,west,0
20050a,fly,east,0
20050b,fly,west,0
20058a,fly,east,0
20060a,fly,east,0
20063a,fly,east,0
20065a,fly,east,0
20067a,fly,east,0
20068a,fly,east,0
20069a,fly,east,0
20072b,fly,east,0
20073a,fly,east,0
20074a,fly,east,0
20076a,fly,east,0
20076b,fly,west,0
20079a,fly,east,0
20080b,fly,west,0
20083a,fly,east,0
20085a,fly,east,0
20086a,fly,east,0
20088a,fly,east,0
20090a,fly,east,0
20104a,fly,west,0
20105a,fly,west,0
